Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + ACR2-CTZ,CTZ-2,Before,0,"[[0.09829646811258036, 61.50360107421878], [0.23086778736937752, 67.49725341796878]]",0,[],[]
L + ACR2-CTZ,CTZ-2,Before,1,"[[0.09829646811258036, 61.50360107421878], [0.23086778736937752, 67.49725341796878]]",0,[],[]
L + ACR2-CTZ,CTZ-2,Before,2,"[[0.09829646811258036, 61.50360107421878], [0.23086778736937752, 67.49725341796878]]",0,[],[]
L + ACR2-CTZ,CTZ-2,Before,3,"[[0.09829646811258036, 61.50360107421878], [0.23086778736937752, 67.49725341796878]]",0,[],[]
L + ACR2-CTZ,CTZ-2,Before,4,"[[0.09829646811258036, 61.50360107421878], [0.23086778736937752, 67.49725341796878]]",0,[],[]
L + ACR2-CTZ,CTZ-2,Before,5,"[[0.09829646811258036, 61.50360107421878], [0.23086778736937752, 67.49725341796878]]",0,[],[]
L + ACR2-CTZ,CTZ-2,Before,6,"[[0.09829646811258036, 61.50360107421878], [0.23086778736937752, 67.49725341796878]]",0,[],[]
L + ACR2-CTZ,CTZ-2,Before,7,"[[0.09829646811258036, 61.50360107421878], [0.23086778736937752, 67.49725341796878]]",3,"[1280, 1373, 1484]","[0.128, 0.1373, 0.1484]"
L + ACR2-CTZ,CTZ-2,Before,8,"[[0.09829646811258036, 61.50360107421878], [0.23086778736937752, 67.49725341796878]]",8,"[1276, 1360, 1461, 1564, 1668, 1779, 1882, 1993]","[0.12760000000000002, 0.136, 0.1461, 0.1564, 0.1668, 0.1779, 0.1882, 0.1993]"
L + ACR2-CTZ,CTZ-2,Before,9,"[[0.09829646811258036, 61.50360107421878], [0.23086778736937752, 67.49725341796878]]",7,"[1271, 1351, 1449, 1542, 1654, 1763, 1896]","[0.12710000000000002, 0.1351, 0.1449, 0.1542, 0.16540000000000002, 0.1763, 0.18960000000000002]"
L + ACR2-CTZ,CTZ-2,After,0,"[[0.09829646811258036, 87.80687120225696], [0.22329228341184626, 85.94597710503473]]",0,[],[]
L + ACR2-CTZ,CTZ-2,After,1,"[[0.09829646811258036, 87.80687120225696], [0.22329228341184626, 85.94597710503473]]",0,[],[]
L + ACR2-CTZ,CTZ-2,After,2,"[[0.09829646811258036, 87.80687120225696], [0.22329228341184626, 85.94597710503473]]",0,[],[]
L + ACR2-CTZ,CTZ-2,After,3,"[[0.09829646811258036, 87.80687120225696], [0.22329228341184626, 85.94597710503473]]",0,[],[]
L + ACR2-CTZ,CTZ-2,After,4,"[[0.09829646811258036, 87.80687120225696], [0.22329228341184626, 85.94597710503473]]",0,[],[]
L + ACR2-CTZ,CTZ-2,After,5,"[[0.09829646811258036, 87.80687120225696], [0.22329228341184626, 85.94597710503473]]",0,[],[]
L + ACR2-CTZ,CTZ-2,After,6,"[[0.09829646811258036, 87.80687120225696], [0.22329228341184626, 85.94597710503473]]",0,[],[]
L + ACR2-CTZ,CTZ-2,After,7,"[[0.09829646811258036, 87.80687120225696], [0.22329228341184626, 85.94597710503473]]",1,[1289],[0.12890000000000001]
L + ACR2-CTZ,CTZ-2,After,8,"[[0.09829646811258036, 87.80687120225696], [0.22329228341184626, 85.94597710503473]]",3,"[1282, 1405, 1407]","[0.1282, 0.1405, 0.14070000000000002]"
L + ACR2-CTZ,CTZ-2,After,9,"[[0.09829646811258036, 87.80687120225696], [0.22329228341184626, 85.94597710503473]]",2,"[1284, 1410]","[0.12840000000000001, 0.14100000000000001]"
