Group,Recording_ID,Label,Sweep_Number,Peak_Index,Peak_Time_s,Peak_Time_ms,Peak_Voltage_mV
L + CS-Veh,Veh-9,Before,7,1367,0.13670000000000002,136.70000000000002,15.411376953125
L + CS-Veh,Veh-9,Before,8,1323,0.1323,132.3,20.843505859375
L + CS-Veh,Veh-9,Before,8,1556,0.15560000000000002,155.60000000000002,16.265869140625
L + CS-Veh,Veh-9,Before,9,1301,0.1301,130.1,18.98193359375
L + CS-Veh,Veh-9,Before,9,1474,0.1474,147.4,14.6484375
L + CS-Veh,Veh-9,Before,9,1693,0.1693,169.3,14.70947265625
L + CS-Veh,Veh-9,Before,9,1969,0.19690000000000002,196.9,12.237548828125
L + CS-Veh,Veh-9,After,7,1458,0.1458,145.8,21.270751953125
L + CS-Veh,Veh-9,After,8,1358,0.1358,135.8,16.29638671875
L + CS-Veh,Veh-9,After,8,1771,0.1771,177.1,17.88330078125
L + CS-Veh,Veh-9,After,9,1325,0.1325,132.5,22.064208984375
L + CS-Veh,Veh-9,After,9,1534,0.1534,153.4,15.350341796875
L + CS-Veh,Veh-9,After,9,1842,0.1842,184.2,15.93017578125
