Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + CS-CTZ,CTZ-3,Before,0,"[[0.028630824372759822, 10.467840988626037], [1.2208888888888887, 9.913244631593244]]",0,[],[]
L + CS-CTZ,CTZ-3,Before,1,"[[0.028630824372759822, 10.467840988626037], [1.2208888888888887, 9.913244631593244]]",0,[],[]
L + CS-CTZ,CTZ-3,Before,2,"[[0.028630824372759822, 10.467840988626037], [1.2208888888888887, 9.913244631593244]]",0,[],[]
L + CS-CTZ,CTZ-3,Before,3,"[[0.028630824372759822, 10.467840988626037], [1.2208888888888887, 9.913244631593244]]",0,[],[]
L + CS-CTZ,CTZ-3,Before,4,"[[0.028630824372759822, 10.467840988626037], [1.2208888888888887, 9.913244631593244]]",0,[],[]
L + CS-CTZ,CTZ-3,Before,5,"[[0.028630824372759822, 10.467840988626037], [1.2208888888888887, 9.913244631593244]]",0,[],[]
L + CS-CTZ,CTZ-3,Before,6,"[[0.028630824372759822, 10.467840988626037], [1.2208888888888887, 9.913244631593244]]",0,[],[]
L + CS-CTZ,CTZ-3,Before,7,"[[0.028630824372759822, 10.467840988626037], [1.2208888888888887, 9.913244631593244]]",2,"[1322, 1613]","[0.1322, 0.1613]"
L + CS-CTZ,CTZ-3,Before,8,"[[0.028630824372759822, 10.467840988626037], [1.2208888888888887, 9.913244631593244]]",4,"[1297, 1486, 1702, 1961]","[0.1297, 0.1486, 0.17020000000000002, 0.1961]"
L + CS-CTZ,CTZ-3,Before,9,"[[0.028630824372759822, 10.467840988626037], [1.2208888888888887, 9.913244631593244]]",6,"[1284, 1432, 1600, 1783, 1985, 2205]","[0.12840000000000001, 0.1432, 0.16, 0.17830000000000001, 0.1985, 0.2205]"
L + CS-CTZ,CTZ-3,After,0,"[[0.08426576793452095, -10.677997136520133], [0.6664130958112663, -11.178987886368802]]",0,[],[]
L + CS-CTZ,CTZ-3,After,1,"[[0.08426576793452095, -10.677997136520133], [0.6664130958112663, -11.178987886368802]]",0,[],[]
L + CS-CTZ,CTZ-3,After,2,"[[0.08426576793452095, -10.677997136520133], [0.6664130958112663, -11.178987886368802]]",0,[],[]
L + CS-CTZ,CTZ-3,After,3,"[[0.08426576793452095, -10.677997136520133], [0.6664130958112663, -11.178987886368802]]",0,[],[]
L + CS-CTZ,CTZ-3,After,4,"[[0.08426576793452095, -10.677997136520133], [0.6664130958112663, -11.178987886368802]]",0,[],[]
L + CS-CTZ,CTZ-3,After,5,"[[0.08426576793452095, -10.677997136520133], [0.6664130958112663, -11.178987886368802]]",2,"[1373, 1748]","[0.1373, 0.1748]"
L + CS-CTZ,CTZ-3,After,6,"[[0.08426576793452095, -10.677997136520133], [0.6664130958112663, -11.178987886368802]]",5,"[1322, 1556, 1816, 2103, 2448]","[0.1322, 0.15560000000000002, 0.1816, 0.21030000000000001, 0.24480000000000002]"
L + CS-CTZ,CTZ-3,After,7,"[[0.08426576793452095, -10.677997136520133], [0.6664130958112663, -11.178987886368802]]",9,"[1302, 1488, 1692, 1922, 2165, 2430, 2701, 2975, 3309]","[0.1302, 0.14880000000000002, 0.16920000000000002, 0.1922, 0.2165, 0.24300000000000002, 0.2701, 0.2975, 0.3309]"
L + CS-CTZ,CTZ-3,After,8,"[[0.08426576793452095, -10.677997136520133], [0.6664130958112663, -11.178987886368802]]",14,"[1290, 1446, 1620, 1810, 2011, 2234, 2458, 2696, 2937, 3197, 3456, 3724, 3997, 4290]","[0.129, 0.1446, 0.162, 0.18100000000000002, 0.2011, 0.22340000000000002, 0.24580000000000002, 0.2696, 0.2937, 0.31970000000000004, 0.3456, 0.3724, 0.3997, 0.42900000000000005]"
L + CS-CTZ,CTZ-3,After,9,"[[0.08426576793452095, -10.677997136520133], [0.6664130958112663, -11.178987886368802]]",15,"[1279, 1412, 1562, 1725, 1896, 2078, 2271, 2474, 2690, 2905, 3121, 3359, 3598, 3852, 4128]","[0.1279, 0.14120000000000002, 0.1562, 0.17250000000000001, 0.18960000000000002, 0.2078, 0.22710000000000002, 0.2474, 0.269, 0.29050000000000004, 0.3121, 0.33590000000000003, 0.3598, 0.38520000000000004, 0.4128]"
