Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + ACR2-CTZ,CTZ-6,Before,0,"[[-0.03048709916545117, -1.947312127976204], [0.989680767115426, -5.468362475198418]]",0,[],[]
L + ACR2-CTZ,CTZ-6,Before,1,"[[-0.03048709916545117, -1.947312127976204], [0.989680767115426, -5.468362475198418]]",0,[],[]
L + ACR2-CTZ,CTZ-6,Before,2,"[[-0.03048709916545117, -1.947312127976204], [0.989680767115426, -5.468362475198418]]",0,[],[]
L + ACR2-CTZ,CTZ-6,Before,3,"[[-0.03048709916545117, -1.947312127976204], [0.989680767115426, -5.468362475198418]]",0,[],[]
L + ACR2-CTZ,CTZ-6,Before,4,"[[-0.03048709916545117, -1.947312127976204], [0.989680767115426, -5.468362475198418]]",0,[],[]
L + ACR2-CTZ,CTZ-6,Before,5,"[[-0.03048709916545117, -1.947312127976204], [0.989680767115426, -5.468362475198418]]",0,[],[]
L + ACR2-CTZ,CTZ-6,Before,6,"[[-0.03048709916545117, -1.947312127976204], [0.989680767115426, -5.468362475198418]]",6,"[133, 237, 367, 2905, 3081, 3226]","[0.013300000000000001, 0.023700000000000002, 0.0367, 0.29050000000000004, 0.30810000000000004, 0.3226]"
L + ACR2-CTZ,CTZ-6,Before,7,"[[-0.03048709916545117, -1.947312127976204], [0.989680767115426, -5.468362475198418]]",5,"[2512, 10368, 10545, 10653, 10817]","[0.25120000000000003, 1.0368, 1.0545, 1.0653000000000001, 1.0817]"
L + ACR2-CTZ,CTZ-6,Before,8,"[[-0.03048709916545117, -1.947312127976204], [0.989680767115426, -5.468362475198418]]",3,"[1296, 4514, 8028]","[0.1296, 0.4514, 0.8028000000000001]"
L + ACR2-CTZ,CTZ-6,Before,9,"[[-0.03048709916545117, -1.947312127976204], [0.989680767115426, -5.468362475198418]]",8,"[1260, 3446, 4787, 5586, 6309, 8165, 9512, 10154]","[0.126, 0.3446, 0.4787, 0.5586, 0.6309, 0.8165, 0.9512, 1.0154]"
L + ACR2-CTZ,CTZ-6,After,0,"[[0.044005356416939645, -5.527242024739593], [1.0452344628039885, -7.838730585007454]]",0,[],[]
L + ACR2-CTZ,CTZ-6,After,1,"[[0.044005356416939645, -5.527242024739593], [1.0452344628039885, -7.838730585007454]]",0,[],[]
L + ACR2-CTZ,CTZ-6,After,2,"[[0.044005356416939645, -5.527242024739593], [1.0452344628039885, -7.838730585007454]]",0,[],[]
L + ACR2-CTZ,CTZ-6,After,3,"[[0.044005356416939645, -5.527242024739593], [1.0452344628039885, -7.838730585007454]]",0,[],[]
L + ACR2-CTZ,CTZ-6,After,4,"[[0.044005356416939645, -5.527242024739593], [1.0452344628039885, -7.838730585007454]]",0,[],[]
L + ACR2-CTZ,CTZ-6,After,5,"[[0.044005356416939645, -5.527242024739593], [1.0452344628039885, -7.838730585007454]]",0,[],[]
L + ACR2-CTZ,CTZ-6,After,6,"[[0.044005356416939645, -5.527242024739593], [1.0452344628039885, -7.838730585007454]]",0,[],[]
L + ACR2-CTZ,CTZ-6,After,7,"[[0.044005356416939645, -5.527242024739593], [1.0452344628039885, -7.838730585007454]]",0,[],[]
L + ACR2-CTZ,CTZ-6,After,8,"[[0.044005356416939645, -5.527242024739593], [1.0452344628039885, -7.838730585007454]]",1,[1274],[0.1274]
L + ACR2-CTZ,CTZ-6,After,9,"[[0.044005356416939645, -5.527242024739593], [1.0452344628039885, -7.838730585007454]]",4,"[1275, 4524, 6342, 9263]","[0.1275, 0.4524, 0.6342, 0.9263]"
