Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + CS-Veh,Veh-9,Before,0,"[[0.01853763440860212, -6.456187414744534], [1.1779928315412185, -12.271384587363585]]",0,[],[]
L + CS-Veh,Veh-9,Before,1,"[[0.01853763440860212, -6.456187414744534], [1.1779928315412185, -12.271384587363585]]",0,[],[]
L + CS-Veh,Veh-9,Before,2,"[[0.01853763440860212, -6.456187414744534], [1.1779928315412185, -12.271384587363585]]",0,[],[]
L + CS-Veh,Veh-9,Before,3,"[[0.01853763440860212, -6.456187414744534], [1.1779928315412185, -12.271384587363585]]",0,[],[]
L + CS-Veh,Veh-9,Before,4,"[[0.01853763440860212, -6.456187414744534], [1.1779928315412185, -12.271384587363585]]",0,[],[]
L + CS-Veh,Veh-9,Before,5,"[[0.01853763440860212, -6.456187414744534], [1.1779928315412185, -12.271384587363585]]",0,[],[]
L + CS-Veh,Veh-9,Before,6,"[[0.01853763440860212, -6.456187414744534], [1.1779928315412185, -12.271384587363585]]",0,[],[]
L + CS-Veh,Veh-9,Before,7,"[[0.01853763440860212, -6.456187414744534], [1.1779928315412185, -12.271384587363585]]",1,[1367],[0.13670000000000002]
L + CS-Veh,Veh-9,Before,8,"[[0.01853763440860212, -6.456187414744534], [1.1779928315412185, -12.271384587363585]]",2,"[1323, 1556]","[0.1323, 0.15560000000000002]"
L + CS-Veh,Veh-9,Before,9,"[[0.01853763440860212, -6.456187414744534], [1.1779928315412185, -12.271384587363585]]",4,"[1301, 1474, 1693, 1969]","[0.1301, 0.1474, 0.1693, 0.19690000000000002]"
L + CS-Veh,Veh-9,After,0,"[[-0.005979778526721269, -6.238495357452862], [1.1608570052961003, -3.2790653289310256]]",0,[],[]
L + CS-Veh,Veh-9,After,1,"[[-0.005979778526721269, -6.238495357452862], [1.1608570052961003, -3.2790653289310256]]",0,[],[]
L + CS-Veh,Veh-9,After,2,"[[-0.005979778526721269, -6.238495357452862], [1.1608570052961003, -3.2790653289310256]]",0,[],[]
L + CS-Veh,Veh-9,After,3,"[[-0.005979778526721269, -6.238495357452862], [1.1608570052961003, -3.2790653289310256]]",0,[],[]
L + CS-Veh,Veh-9,After,4,"[[-0.005979778526721269, -6.238495357452862], [1.1608570052961003, -3.2790653289310256]]",0,[],[]
L + CS-Veh,Veh-9,After,5,"[[-0.005979778526721269, -6.238495357452862], [1.1608570052961003, -3.2790653289310256]]",0,[],[]
L + CS-Veh,Veh-9,After,6,"[[-0.005979778526721269, -6.238495357452862], [1.1608570052961003, -3.2790653289310256]]",0,[],[]
L + CS-Veh,Veh-9,After,7,"[[-0.005979778526721269, -6.238495357452862], [1.1608570052961003, -3.2790653289310256]]",1,[1458],[0.1458]
L + CS-Veh,Veh-9,After,8,"[[-0.005979778526721269, -6.238495357452862], [1.1608570052961003, -3.2790653289310256]]",2,"[1358, 1771]","[0.1358, 0.1771]"
L + CS-Veh,Veh-9,After,9,"[[-0.005979778526721269, -6.238495357452862], [1.1608570052961003, -3.2790653289310256]]",3,"[1325, 1534, 1842]","[0.1325, 0.1534, 0.1842]"
