Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + CS-CTZ,CTZ-5,Before,0,"[[0.03998566308243723, 10.941355841920256], [1.1161720430107527, 8.255432787220712]]",0,[],[]
L + CS-CTZ,CTZ-5,Before,1,"[[0.03998566308243723, 10.941355841920256], [1.1161720430107527, 8.255432787220712]]",0,[],[]
L + CS-CTZ,CTZ-5,Before,2,"[[0.03998566308243723, 10.941355841920256], [1.1161720430107527, 8.255432787220712]]",0,[],[]
L + CS-CTZ,CTZ-5,Before,3,"[[0.03998566308243723, 10.941355841920256], [1.1161720430107527, 8.255432787220712]]",4,"[1311, 3305, 5155, 9652]","[0.1311, 0.3305, 0.5155000000000001, 0.9652000000000001]"
L + CS-CTZ,CTZ-5,Before,4,"[[0.03998566308243723, 10.941355841920256], [1.1161720430107527, 8.255432787220712]]",71,"[1253, 1344, 1435, 1537, 1641, 1750, 1866, 1982, 2098, 2217, 2348, 2480, 2614, 2739, 2866, 2990, 3122, 3243, 3378, 3512, 3659, 3795, 3937, 4080, 4224, 4372, 4514, 4657, 4797, 4934, 5088, 5227, 5387, 5531, 5670, 5820, 5960, 6098, 6249, 6400, 6541, 6685, 6829, 6980, 7126, 7275, 7433, 7582, 7741, 7900, 8070, 8234, 8392, 8544, 8711, 8884, 9033, 9185, 9322, 9474, 9638, 9792, 9933, 10088, 10250, 10415, 10563, 10708, 10851, 11006, 11154]","[0.1253, 0.13440000000000002, 0.14350000000000002, 0.1537, 0.1641, 0.17500000000000002, 0.18660000000000002, 0.19820000000000002, 0.20980000000000001, 0.2217, 0.2348, 0.248, 0.2614, 0.27390000000000003, 0.2866, 0.299, 0.31220000000000003, 0.32430000000000003, 0.3378, 0.3512, 0.3659, 0.3795, 0.3937, 0.40800000000000003, 0.4224, 0.43720000000000003, 0.4514, 0.4657, 0.4797, 0.4934, 0.5088, 0.5227, 0.5387000000000001, 0.5531, 0.5670000000000001, 0.5820000000000001, 0.596, 0.6098, 0.6249, 0.64, 0.6541, 0.6685, 0.6829000000000001, 0.6980000000000001, 0.7126, 0.7275, 0.7433000000000001, 0.7582, 0.7741, 0.79, 0.807, 0.8234, 0.8392000000000001, 0.8544, 0.8711000000000001, 0.8884000000000001, 0.9033, 0.9185000000000001, 0.9322, 0.9474, 0.9638000000000001, 0.9792000000000001, 0.9933000000000001, 1.0088000000000001, 1.0250000000000001, 1.0415, 1.0563, 1.0708, 1.0851, 1.1006, 1.1154]"
L + CS-CTZ,CTZ-5,Before,5,"[[0.03998566308243723, 10.941355841920256], [1.1161720430107527, 8.255432787220712]]",95,"[1264, 1332, 1411, 1495, 1584, 1676, 1766, 1864, 1967, 2065, 2158, 2262, 2365, 2465, 2566, 2676, 2776, 2878, 2984, 3094, 3194, 3298, 3408, 3508, 3607, 3713, 3818, 3923, 4030, 4134, 4241, 4355, 4457, 4567, 4671, 4777, 4886, 4997, 5109, 5213, 5315, 5412, 5517, 5625, 5727, 5831, 5930, 6036, 6140, 6250, 6352, 6460, 6571, 6679, 6786, 6893, 6994, 7105, 7219, 7330, 7437, 7548, 7660, 7766, 7877, 7983, 8089, 8201, 8311, 8430, 8537, 8648, 8758, 8877, 8992, 9098, 9209, 9313, 9426, 9534, 9639, 9755, 9868, 9975, 10094, 10204, 10316, 10420, 10531, 10641, 10746, 10853, 10960, 11070, 11185]","[0.1264, 0.1332, 0.1411, 0.1495, 0.1584, 0.1676, 0.1766, 0.1864, 0.1967, 0.20650000000000002, 0.21580000000000002, 0.2262, 0.23650000000000002, 0.24650000000000002, 0.2566, 0.2676, 0.2776, 0.2878, 0.2984, 0.3094, 0.3194, 0.32980000000000004, 0.3408, 0.3508, 0.3607, 0.3713, 0.38180000000000003, 0.39230000000000004, 0.403, 0.41340000000000005, 0.42410000000000003, 0.4355, 0.44570000000000004, 0.4567, 0.4671, 0.4777, 0.48860000000000003, 0.49970000000000003, 0.5109, 0.5213, 0.5315, 0.5412, 0.5517000000000001, 0.5625, 0.5727, 0.5831000000000001, 0.5930000000000001, 0.6036, 0.614, 0.625, 0.6352, 0.646, 0.6571, 0.6679, 0.6786, 0.6893, 0.6994, 0.7105, 0.7219, 0.733, 0.7437, 0.7548, 0.766, 0.7766000000000001, 0.7877000000000001, 0.7983, 0.8089000000000001, 0.8201, 0.8311000000000001, 0.8430000000000001, 0.8537, 0.8648, 0.8758, 0.8877, 0.8992, 0.9098, 0.9209, 0.9313, 0.9426, 0.9534, 0.9639000000000001, 0.9755, 0.9868, 0.9975, 1.0094, 1.0204, 1.0316, 1.042, 1.0531000000000001, 1.0641, 1.0746, 1.0853000000000002, 1.096, 1.107, 1.1185]"
L + CS-CTZ,CTZ-5,Before,6,"[[0.03998566308243723, 10.941355841920256], [1.1161720430107527, 8.255432787220712]]",31,"[1257, 1316, 1383, 1451, 1529, 1606, 1685, 1767, 1850, 1936, 2020, 2099, 2184, 2263, 2345, 2427, 2517, 2601, 2684, 2770, 2856, 2942, 3033, 3128, 3218, 3303, 3394, 3483, 3573, 3656, 3911]","[0.1257, 0.1316, 0.1383, 0.1451, 0.1529, 0.16060000000000002, 0.1685, 0.1767, 0.185, 0.19360000000000002, 0.202, 0.2099, 0.2184, 0.2263, 0.23450000000000001, 0.2427, 0.25170000000000003, 0.2601, 0.2684, 0.277, 0.2856, 0.2942, 0.3033, 0.3128, 0.32180000000000003, 0.33030000000000004, 0.33940000000000003, 0.3483, 0.3573, 0.36560000000000004, 0.3911]"
L + CS-CTZ,CTZ-5,Before,7,"[[0.03998566308243723, 10.941355841920256], [1.1161720430107527, 8.255432787220712]]",20,"[1255, 1310, 1373, 1437, 1499, 1569, 1637, 1711, 1781, 1851, 1923, 1990, 2060, 2134, 2203, 2278, 2347, 2423, 2494, 2565]","[0.1255, 0.131, 0.1373, 0.1437, 0.1499, 0.1569, 0.1637, 0.1711, 0.1781, 0.18510000000000001, 0.1923, 0.199, 0.20600000000000002, 0.2134, 0.22030000000000002, 0.2278, 0.23470000000000002, 0.24230000000000002, 0.2494, 0.2565]"
L + CS-CTZ,CTZ-5,Before,8,"[[0.03998566308243723, 10.941355841920256], [1.1161720430107527, 8.255432787220712]]",6,"[1253, 1305, 1363, 1426, 1490, 1550]","[0.1253, 0.1305, 0.1363, 0.1426, 0.149, 0.155]"
L + CS-CTZ,CTZ-5,Before,9,"[[0.03998566308243723, 10.941355841920256], [1.1161720430107527, 8.255432787220712]]",6,"[1253, 1304, 1359, 1419, 1476, 1587]","[0.1253, 0.13040000000000002, 0.1359, 0.1419, 0.1476, 0.1587]"
