Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + ACR2-CTZ,CTZ-8,Before,0,"[[0.02001626055142397, -6.333051409040188], [1.0970004065137855, -8.836074102492567]]",0,[],[]
L + ACR2-CTZ,CTZ-8,Before,1,"[[0.02001626055142397, -6.333051409040188], [1.0970004065137855, -8.836074102492567]]",0,[],[]
L + ACR2-CTZ,CTZ-8,Before,2,"[[0.02001626055142397, -6.333051409040188], [1.0970004065137855, -8.836074102492567]]",0,[],[]
L + ACR2-CTZ,CTZ-8,Before,3,"[[0.02001626055142397, -6.333051409040188], [1.0970004065137855, -8.836074102492567]]",0,[],[]
L + ACR2-CTZ,CTZ-8,Before,4,"[[0.02001626055142397, -6.333051409040188], [1.0970004065137855, -8.836074102492567]]",0,[],[]
L + ACR2-CTZ,CTZ-8,Before,5,"[[0.02001626055142397, -6.333051409040188], [1.0970004065137855, -8.836074102492567]]",0,[],[]
L + ACR2-CTZ,CTZ-8,Before,6,"[[0.02001626055142397, -6.333051409040188], [1.0970004065137855, -8.836074102492567]]",0,[],[]
L + ACR2-CTZ,CTZ-8,Before,7,"[[0.02001626055142397, -6.333051409040188], [1.0970004065137855, -8.836074102492567]]",0,[],[]
L + ACR2-CTZ,CTZ-8,Before,8,"[[0.02001626055142397, -6.333051409040188], [1.0970004065137855, -8.836074102492567]]",1,[1340],[0.134]
L + ACR2-CTZ,CTZ-8,Before,9,"[[0.02001626055142397, -6.333051409040188], [1.0970004065137855, -8.836074102492567]]",7,"[1260, 1429, 1673, 6636, 7452, 9065, 10232]","[0.126, 0.1429, 0.1673, 0.6636000000000001, 0.7452000000000001, 0.9065000000000001, 1.0232]"
L + ACR2-CTZ,CTZ-8,After,0,null,0,[],[]
L + ACR2-CTZ,CTZ-8,After,1,null,0,[],[]
L + ACR2-CTZ,CTZ-8,After,2,null,0,[],[]
L + ACR2-CTZ,CTZ-8,After,3,null,0,[],[]
L + ACR2-CTZ,CTZ-8,After,4,null,0,[],[]
L + ACR2-CTZ,CTZ-8,After,5,null,0,[],[]
L + ACR2-CTZ,CTZ-8,After,6,null,0,[],[]
L + ACR2-CTZ,CTZ-8,After,7,null,0,[],[]
L + ACR2-CTZ,CTZ-8,After,8,null,0,[],[]
L + ACR2-CTZ,CTZ-8,After,9,null,0,[],[]
