Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + ACR2-CTZ,CTZ-9,Before,0,"[[0.047793108395705275, -19.06585693359375], [0.9707420072215978, -22.524515787760414]]",0,[],[]
L + ACR2-CTZ,CTZ-9,Before,1,"[[0.047793108395705275, -19.06585693359375], [0.9707420072215978, -22.524515787760414]]",0,[],[]
L + ACR2-CTZ,CTZ-9,Before,2,"[[0.047793108395705275, -19.06585693359375], [0.9707420072215978, -22.524515787760414]]",0,[],[]
L + ACR2-CTZ,CTZ-9,Before,3,"[[0.047793108395705275, -19.06585693359375], [0.9707420072215978, -22.524515787760414]]",0,[],[]
L + ACR2-CTZ,CTZ-9,Before,4,"[[0.047793108395705275, -19.06585693359375], [0.9707420072215978, -22.524515787760414]]",0,[],[]
L + ACR2-CTZ,CTZ-9,Before,5,"[[0.047793108395705275, -19.06585693359375], [0.9707420072215978, -22.524515787760414]]",0,[],[]
L + ACR2-CTZ,CTZ-9,Before,6,"[[0.047793108395705275, -19.06585693359375], [0.9707420072215978, -22.524515787760414]]",1,[1285],[0.1285]
L + ACR2-CTZ,CTZ-9,Before,7,"[[0.047793108395705275, -19.06585693359375], [0.9707420072215978, -22.524515787760414]]",1,[1262],[0.1262]
L + ACR2-CTZ,CTZ-9,Before,8,"[[0.047793108395705275, -19.06585693359375], [0.9707420072215978, -22.524515787760414]]",13,"[1255, 1386, 1549, 1891, 2528, 3961, 4215, 4439, 6334, 7663, 8766, 9623, 9795]","[0.1255, 0.1386, 0.1549, 0.18910000000000002, 0.2528, 0.3961, 0.42150000000000004, 0.4439, 0.6334000000000001, 0.7663000000000001, 0.8766, 0.9623, 0.9795]"
L + ACR2-CTZ,CTZ-9,Before,9,"[[0.047793108395705275, -19.06585693359375], [0.9707420072215978, -22.524515787760414]]",41,"[1251, 1338, 1445, 1558, 1673, 1805, 1937, 2073, 2226, 2348, 2479, 2657, 3393, 3520, 3682, 3849, 3992, 4168, 4319, 4482, 5659, 5804, 5971, 6130, 6305, 6469, 6651, 6809, 7446, 8416, 8584, 8730, 8871, 9011, 9192, 9343, 9522, 9718, 9870, 10071, 10942]","[0.12510000000000002, 0.1338, 0.14450000000000002, 0.1558, 0.1673, 0.18050000000000002, 0.1937, 0.2073, 0.22260000000000002, 0.2348, 0.2479, 0.2657, 0.3393, 0.35200000000000004, 0.3682, 0.3849, 0.3992, 0.4168, 0.4319, 0.44820000000000004, 0.5659000000000001, 0.5804, 0.5971000000000001, 0.613, 0.6305000000000001, 0.6469, 0.6651, 0.6809000000000001, 0.7446, 0.8416, 0.8584, 0.873, 0.8871, 0.9011, 0.9192, 0.9343, 0.9522, 0.9718, 0.9870000000000001, 1.0071, 1.0942]"
L + ACR2-CTZ,CTZ-9,After,0,null,0,[],[]
L + ACR2-CTZ,CTZ-9,After,1,null,0,[],[]
L + ACR2-CTZ,CTZ-9,After,2,null,0,[],[]
L + ACR2-CTZ,CTZ-9,After,3,null,0,[],[]
L + ACR2-CTZ,CTZ-9,After,4,null,0,[],[]
L + ACR2-CTZ,CTZ-9,After,5,null,0,[],[]
L + ACR2-CTZ,CTZ-9,After,6,null,0,[],[]
L + ACR2-CTZ,CTZ-9,After,7,null,0,[],[]
L + ACR2-CTZ,CTZ-9,After,8,null,0,[],[]
L + ACR2-CTZ,CTZ-9,After,9,null,0,[],[]
