Group,Recording_ID,Label,Sweep_Number,Peak_Index,Peak_Time_s,Peak_Time_ms,Peak_Voltage_mV
L + CS-Veh,Veh-2,Before,5,1305,0.1305,130.5,5.18798828125
L + CS-Veh,Veh-2,Before,6,1275,0.1275,127.5,8.36181640625
L + CS-Veh,Veh-2,Before,7,1265,0.1265,126.5,9.429931640625
L + CS-Veh,Veh-2,Before,8,1265,0.1265,126.5,9.613037109375
L + CS-Veh,Veh-2,Before,9,1257,0.1257,125.7,9.8876953125
L + CS-Veh,Veh-2,Before,9,1384,0.1384,138.4,2.410888671875
L + CS-Veh,Veh-2,After,5,1310,0.131,131.0,5.79833984375
L + CS-Veh,Veh-2,After,6,1272,0.1272,127.2,10.589599609375
L + CS-Veh,Veh-2,After,6,1478,0.14780000000000001,147.8,-0.1220703125
L + CS-Veh,Veh-2,After,7,1263,0.1263,126.3,10.833740234375
L + CS-Veh,Veh-2,After,7,1429,0.1429,142.9,2.410888671875
L + CS-Veh,Veh-2,After,8,1261,0.12610000000000002,126.10000000000002,10.833740234375
L + CS-Veh,Veh-2,After,8,1408,0.1408,140.8,3.204345703125
L + CS-Veh,Veh-2,After,9,1256,0.12560000000000002,125.60000000000002,11.688232421875
L + CS-Veh,Veh-2,After,9,1366,0.1366,136.6,6.561279296875
