Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + CS-CTZ,CTZ-9,Before,0,"[[0.053863799283154046, 16.028228363433442], [1.1603297491039426, 4.487035181615255]]",0,[],[]
L + CS-CTZ,CTZ-9,Before,1,"[[0.053863799283154046, 16.028228363433442], [1.1603297491039426, 4.487035181615255]]",0,[],[]
L + CS-CTZ,CTZ-9,Before,2,"[[0.053863799283154046, 16.028228363433442], [1.1603297491039426, 4.487035181615255]]",0,[],[]
L + CS-CTZ,CTZ-9,Before,3,"[[0.053863799283154046, 16.028228363433442], [1.1603297491039426, 4.487035181615255]]",0,[],[]
L + CS-CTZ,CTZ-9,Before,4,"[[0.053863799283154046, 16.028228363433442], [1.1603297491039426, 4.487035181615255]]",21,"[1318, 1489, 1777, 2076, 2437, 2779, 3205, 3630, 4053, 4481, 4908, 5335, 5747, 6423, 6866, 7374, 7852, 8913, 9353, 10399, 10873]","[0.1318, 0.1489, 0.1777, 0.2076, 0.2437, 0.27790000000000004, 0.3205, 0.36300000000000004, 0.4053, 0.4481, 0.4908, 0.5335, 0.5747, 0.6423, 0.6866, 0.7374, 0.7852, 0.8913000000000001, 0.9353, 1.0399, 1.0873000000000002]"
L + CS-CTZ,CTZ-9,Before,5,"[[0.053863799283154046, 16.028228363433442], [1.1603297491039426, 4.487035181615255]]",42,"[1272, 1369, 1500, 1667, 1853, 2046, 2226, 2428, 2645, 2871, 3099, 3325, 3552, 3782, 4013, 4247, 4480, 4728, 4993, 5244, 5488, 5727, 5963, 6195, 6457, 6711, 6968, 7228, 7493, 7752, 8018, 8280, 8562, 8836, 9112, 9401, 9672, 9932, 10194, 10471, 10737, 11015]","[0.1272, 0.1369, 0.15, 0.16670000000000001, 0.18530000000000002, 0.2046, 0.22260000000000002, 0.24280000000000002, 0.2645, 0.2871, 0.3099, 0.3325, 0.3552, 0.37820000000000004, 0.40130000000000005, 0.4247, 0.448, 0.4728, 0.4993, 0.5244, 0.5488000000000001, 0.5727, 0.5963, 0.6195, 0.6457, 0.6711, 0.6968000000000001, 0.7228, 0.7493000000000001, 0.7752, 0.8018000000000001, 0.8280000000000001, 0.8562000000000001, 0.8836, 0.9112, 0.9401, 0.9672000000000001, 0.9932000000000001, 1.0194, 1.0471000000000001, 1.0737, 1.1015000000000001]"
L + CS-CTZ,CTZ-9,Before,6,"[[0.053863799283154046, 16.028228363433442], [1.1603297491039426, 4.487035181615255]]",55,"[1265, 1329, 1430, 1553, 1681, 1825, 1971, 2133, 2281, 2444, 2608, 2770, 2943, 3107, 3277, 3449, 3614, 3788, 3956, 4144, 4318, 4499, 4674, 4857, 5028, 5215, 5396, 5589, 5783, 5967, 6162, 6352, 6532, 6708, 6907, 7092, 7286, 7506, 7705, 7910, 8105, 8314, 8520, 8734, 8937, 9164, 9375, 9590, 9816, 10036, 10242, 10458, 10666, 10886, 11093]","[0.1265, 0.13290000000000002, 0.14300000000000002, 0.1553, 0.1681, 0.1825, 0.1971, 0.21330000000000002, 0.2281, 0.2444, 0.26080000000000003, 0.277, 0.2943, 0.31070000000000003, 0.3277, 0.34490000000000004, 0.3614, 0.3788, 0.3956, 0.41440000000000005, 0.4318, 0.4499, 0.46740000000000004, 0.4857, 0.5028, 0.5215000000000001, 0.5396000000000001, 0.5589000000000001, 0.5783, 0.5967, 0.6162000000000001, 0.6352, 0.6532, 0.6708000000000001, 0.6907, 0.7092, 0.7286, 0.7506, 0.7705000000000001, 0.791, 0.8105, 0.8314, 0.8520000000000001, 0.8734000000000001, 0.8937, 0.9164, 0.9375, 0.9590000000000001, 0.9816, 1.0036, 1.0242, 1.0458, 1.0666, 1.0886, 1.1093]"
L + CS-CTZ,CTZ-9,Before,7,"[[0.053863799283154046, 16.028228363433442], [1.1603297491039426, 4.487035181615255]]",64,"[1262, 1310, 1383, 1478, 1588, 1706, 1830, 1962, 2094, 2228, 2370, 2507, 2650, 2795, 2955, 3101, 3247, 3398, 3560, 3718, 3867, 4025, 4188, 4343, 4496, 4648, 4807, 4966, 5128, 5288, 5444, 5612, 5774, 5950, 6110, 6268, 6436, 6610, 6780, 6945, 7114, 7279, 7450, 7618, 7783, 7954, 8129, 8287, 8454, 8626, 8800, 8984, 9152, 9320, 9507, 9677, 9852, 10030, 10221, 10403, 10584, 10759, 10924, 11088]","[0.1262, 0.131, 0.1383, 0.14780000000000001, 0.1588, 0.1706, 0.183, 0.1962, 0.2094, 0.2228, 0.23700000000000002, 0.25070000000000003, 0.265, 0.2795, 0.29550000000000004, 0.31010000000000004, 0.3247, 0.3398, 0.35600000000000004, 0.3718, 0.38670000000000004, 0.4025, 0.4188, 0.4343, 0.4496, 0.46480000000000005, 0.4807, 0.49660000000000004, 0.5128, 0.5288, 0.5444, 0.5612, 0.5774, 0.595, 0.611, 0.6268, 0.6436000000000001, 0.661, 0.678, 0.6945, 0.7114, 0.7279, 0.745, 0.7618, 0.7783, 0.7954, 0.8129000000000001, 0.8287, 0.8454, 0.8626, 0.88, 0.8984000000000001, 0.9152, 0.932, 0.9507000000000001, 0.9677, 0.9852000000000001, 1.0030000000000001, 1.0221, 1.0403, 1.0584, 1.0759, 1.0924, 1.1088]"
L + CS-CTZ,CTZ-9,Before,8,"[[0.053863799283154046, 16.028228363433442], [1.1603297491039426, 4.487035181615255]]",73,"[1259, 1301, 1356, 1429, 1518, 1609, 1722, 1832, 1947, 2073, 2198, 2322, 2448, 2574, 2702, 2836, 2967, 3095, 3223, 3359, 3494, 3625, 3756, 3895, 4037, 4179, 4330, 4468, 4616, 4761, 4897, 5039, 5179, 5326, 5468, 5608, 5751, 5905, 6049, 6194, 6333, 6477, 6622, 6767, 6921, 7063, 7213, 7371, 7511, 7669, 7810, 7956, 8096, 8244, 8395, 8546, 8699, 8846, 9002, 9146, 9291, 9441, 9593, 9747, 9897, 10046, 10197, 10345, 10504, 10654, 10800, 10955, 11104]","[0.1259, 0.1301, 0.1356, 0.1429, 0.15180000000000002, 0.16090000000000002, 0.17220000000000002, 0.1832, 0.1947, 0.2073, 0.21980000000000002, 0.23220000000000002, 0.24480000000000002, 0.2574, 0.2702, 0.2836, 0.2967, 0.3095, 0.32230000000000003, 0.33590000000000003, 0.34940000000000004, 0.36250000000000004, 0.37560000000000004, 0.3895, 0.4037, 0.4179, 0.433, 0.44680000000000003, 0.4616, 0.4761, 0.4897, 0.5039, 0.5179, 0.5326000000000001, 0.5468000000000001, 0.5608000000000001, 0.5751000000000001, 0.5905, 0.6049, 0.6194000000000001, 0.6333000000000001, 0.6477, 0.6622, 0.6767000000000001, 0.6921, 0.7063, 0.7213, 0.7371000000000001, 0.7511, 0.7669, 0.781, 0.7956000000000001, 0.8096, 0.8244, 0.8395, 0.8546, 0.8699, 0.8846, 0.9002, 0.9146000000000001, 0.9291, 0.9441, 0.9593, 0.9747, 0.9897, 1.0046, 1.0197, 1.0345, 1.0504, 1.0654000000000001, 1.08, 1.0955000000000001, 1.1104]"
L + CS-CTZ,CTZ-9,Before,9,"[[0.053863799283154046, 16.028228363433442], [1.1603297491039426, 4.487035181615255]]",83,"[1259, 1294, 1343, 1409, 1488, 1574, 1668, 1770, 1869, 1973, 2079, 2180, 2285, 2396, 2510, 2621, 2740, 2859, 2977, 3097, 3211, 3325, 3440, 3557, 3676, 3801, 3927, 4046, 4173, 4295, 4417, 4536, 4660, 4783, 4920, 5045, 5167, 5289, 5415, 5544, 5664, 5788, 5931, 6062, 6192, 6311, 6442, 6565, 6691, 6821, 6955, 7081, 7213, 7337, 7468, 7608, 7739, 7864, 7980, 8103, 8235, 8366, 8502, 8632, 8759, 8894, 9018, 9153, 9293, 9425, 9562, 9692, 9829, 9970, 10101, 10242, 10368, 10509, 10647, 10787, 10921, 11056, 11184]","[0.1259, 0.12940000000000002, 0.1343, 0.1409, 0.14880000000000002, 0.1574, 0.1668, 0.17700000000000002, 0.1869, 0.1973, 0.2079, 0.218, 0.2285, 0.2396, 0.251, 0.2621, 0.274, 0.2859, 0.2977, 0.30970000000000003, 0.3211, 0.3325, 0.34400000000000003, 0.3557, 0.36760000000000004, 0.3801, 0.3927, 0.4046, 0.4173, 0.4295, 0.44170000000000004, 0.4536, 0.466, 0.4783, 0.49200000000000005, 0.5045000000000001, 0.5167, 0.5289, 0.5415, 0.5544, 0.5664, 0.5788, 0.5931000000000001, 0.6062000000000001, 0.6192000000000001, 0.6311, 0.6442, 0.6565000000000001, 0.6691, 0.6821, 0.6955, 0.7081000000000001, 0.7213, 0.7337, 0.7468, 0.7608, 0.7739, 0.7864, 0.798, 0.8103, 0.8235, 0.8366, 0.8502000000000001, 0.8632000000000001, 0.8759, 0.8894000000000001, 0.9018, 0.9153, 0.9293, 0.9425, 0.9562, 0.9692000000000001, 0.9829, 0.997, 1.0101, 1.0242, 1.0368, 1.0509, 1.0647, 1.0787, 1.0921, 1.1056000000000001, 1.1184]"
L + CS-CTZ,CTZ-9,After,0,"[[0.08045257583052479, -4.313694263066111], [1.2320365912373616, -6.919544781721186]]",0,[],[]
L + CS-CTZ,CTZ-9,After,1,"[[0.08045257583052479, -4.313694263066111], [1.2320365912373616, -6.919544781721186]]",0,[],[]
L + CS-CTZ,CTZ-9,After,2,"[[0.08045257583052479, -4.313694263066111], [1.2320365912373616, -6.919544781721186]]",0,[],[]
L + CS-CTZ,CTZ-9,After,3,"[[0.08045257583052479, -4.313694263066111], [1.2320365912373616, -6.919544781721186]]",3,"[1517, 6055, 8192]","[0.1517, 0.6055, 0.8192]"
L + CS-CTZ,CTZ-9,After,4,"[[0.08045257583052479, -4.313694263066111], [1.2320365912373616, -6.919544781721186]]",33,"[1304, 1478, 1730, 1970, 2232, 2498, 2777, 3071, 3364, 3659, 3946, 4231, 4546, 4817, 5176, 5513, 5807, 6108, 6404, 6715, 7084, 7415, 7731, 8076, 8423, 8733, 9063, 9402, 9729, 10008, 10279, 10578, 10882]","[0.13040000000000002, 0.14780000000000001, 0.17300000000000001, 0.197, 0.2232, 0.24980000000000002, 0.2777, 0.30710000000000004, 0.33640000000000003, 0.3659, 0.3946, 0.42310000000000003, 0.4546, 0.4817, 0.5176000000000001, 0.5513, 0.5807, 0.6108, 0.6404000000000001, 0.6715, 0.7084, 0.7415, 0.7731, 0.8076, 0.8423, 0.8733000000000001, 0.9063, 0.9402, 0.9729000000000001, 1.0008000000000001, 1.0279, 1.0578, 1.0882]"
