Group,Recording_ID,Label,Sweep_Number,Peak_Index,Peak_Time_s,Peak_Time_ms,Peak_Voltage_mV
L + CS-Veh,Veh-1,Before,3,1346,0.1346,134.6,19.622802734375
L + CS-Veh,Veh-1,Before,3,1846,0.18460000000000001,184.60000000000002,19.012451171875
L + CS-Veh,Veh-1,Before,3,2407,0.24070000000000003,240.70000000000002,17.852783203125
L + CS-Veh,Veh-1,Before,3,3036,0.30360000000000004,303.6,17.547607421875
L + CS-Veh,Veh-1,Before,3,3655,0.3655,365.5,16.357421875
L + CS-Veh,Veh-1,Before,3,4280,0.42800000000000005,428.00000000000006,17.547607421875
L + CS-Veh,Veh-1,Before,3,5009,0.5009,500.90000000000003,17.08984375
L + CS-Veh,Veh-1,Before,3,5695,0.5695,569.5,16.510009765625
L + CS-Veh,Veh-1,Before,3,6373,0.6373,637.3,16.387939453125
L + CS-Veh,Veh-1,Before,3,7103,0.7103,710.3000000000001,15.777587890625
L + CS-Veh,Veh-1,Before,3,7770,0.777,777.0,16.265869140625
L + CS-Veh,Veh-1,Before,3,8422,0.8422000000000001,842.2,15.93017578125
L + CS-Veh,Veh-1,Before,3,9176,0.9176000000000001,917.6000000000001,15.289306640625
L + CS-Veh,Veh-1,Before,3,9806,0.9806,980.6,16.78466796875
L + CS-Veh,Veh-1,Before,3,10479,1.0479,1047.9,16.387939453125
L + CS-Veh,Veh-1,Before,3,11126,1.1126,1112.6000000000001,15.411376953125
L + CS-Veh,Veh-1,Before,4,1288,0.1288,128.8,19.073486328125
L + CS-Veh,Veh-1,Before,4,1566,0.15660000000000002,156.60000000000002,18.096923828125
L + CS-Veh,Veh-1,Before,4,1908,0.1908,190.8,17.15087890625
L + CS-Veh,Veh-1,Before,4,2282,0.22820000000000001,228.20000000000002,16.41845703125
L + CS-Veh,Veh-1,Before,4,2681,0.2681,268.1,16.2353515625
L + CS-Veh,Veh-1,Before,4,3084,0.3084,308.40000000000003,15.045166015625
L + CS-Veh,Veh-1,Before,4,3518,0.3518,351.8,16.021728515625
L + CS-Veh,Veh-1,Before,4,3935,0.3935,393.5,15.594482421875
L + CS-Veh,Veh-1,Before,4,4350,0.435,435.0,14.617919921875
L + CS-Veh,Veh-1,Before,4,4790,0.47900000000000004,479.00000000000006,14.739990234375
L + CS-Veh,Veh-1,Before,4,5237,0.5237,523.7,14.739990234375
L + CS-Veh,Veh-1,Before,4,5680,0.5680000000000001,568.0000000000001,14.58740234375
L + CS-Veh,Veh-1,Before,4,6110,0.611,611.0,13.671875
L + CS-Veh,Veh-1,Before,4,6554,0.6554,655.4,14.58740234375
L + CS-Veh,Veh-1,Before,4,6973,0.6973,697.3000000000001,15.0146484375
L + CS-Veh,Veh-1,Before,4,7426,0.7426,742.6,14.251708984375
L + CS-Veh,Veh-1,Before,4,7850,0.785,785.0,14.46533203125
L + CS-Veh,Veh-1,Before,4,8272,0.8272,827.2,14.068603515625
L + CS-Veh,Veh-1,Before,4,8710,0.871,871.0,14.678955078125
L + CS-Veh,Veh-1,Before,4,9132,0.9132,913.2,14.678955078125
L + CS-Veh,Veh-1,Before,4,9557,0.9557,955.7,13.824462890625
L + CS-Veh,Veh-1,Before,4,9986,0.9986,998.6,13.671875
L + CS-Veh,Veh-1,Before,4,10420,1.042,1042.0,13.97705078125
L + CS-Veh,Veh-1,Before,4,10836,1.0836000000000001,1083.6000000000001,14.22119140625
L + CS-Veh,Veh-1,Before,5,1277,0.1277,127.7,18.096923828125
L + CS-Veh,Veh-1,Before,5,1465,0.14650000000000002,146.50000000000003,16.448974609375
L + CS-Veh,Veh-1,Before,5,1715,0.1715,171.5,15.56396484375
L + CS-Veh,Veh-1,Before,5,1985,0.1985,198.5,14.58740234375
L + CS-Veh,Veh-1,Before,5,2285,0.2285,228.5,14.251708984375
L + CS-Veh,Veh-1,Before,5,2589,0.2589,258.90000000000003,13.946533203125
L + CS-Veh,Veh-1,Before,5,2909,0.2909,290.9,13.0615234375
L + CS-Veh,Veh-1,Before,5,3213,0.32130000000000003,321.3,13.702392578125
L + CS-Veh,Veh-1,Before,5,3538,0.3538,353.8,12.20703125
L + CS-Veh,Veh-1,Before,5,3878,0.38780000000000003,387.8,12.115478515625
L + CS-Veh,Veh-1,Before,5,4211,0.42110000000000003,421.1,12.02392578125
L + CS-Veh,Veh-1,Before,5,4538,0.45380000000000004,453.8,12.26806640625
L + CS-Veh,Veh-1,Before,5,4876,0.48760000000000003,487.6,12.298583984375
L + CS-Veh,Veh-1,Before,5,5208,0.5208,520.8000000000001,12.451171875
L + CS-Veh,Veh-1,Before,5,5554,0.5554,555.4,12.603759765625
L + CS-Veh,Veh-1,Before,5,5884,0.5884,588.4000000000001,11.962890625
L + CS-Veh,Veh-1,Before,5,6227,0.6227,622.7,12.02392578125
L + CS-Veh,Veh-1,Before,5,6558,0.6558,655.8000000000001,11.444091796875
L + CS-Veh,Veh-1,Before,5,6910,0.6910000000000001,691.0000000000001,12.237548828125
L + CS-Veh,Veh-1,Before,5,7244,0.7244,724.4000000000001,12.115478515625
L + CS-Veh,Veh-1,Before,5,7581,0.7581,758.1,11.627197265625
L + CS-Veh,Veh-1,Before,5,7925,0.7925000000000001,792.5000000000001,12.298583984375
L + CS-Veh,Veh-1,Before,5,8256,0.8256,825.6,12.3291015625
L + CS-Veh,Veh-1,Before,5,8590,0.859,859.0,12.237548828125
L + CS-Veh,Veh-1,Before,5,8940,0.894,894.0,11.505126953125
L + CS-Veh,Veh-1,Before,5,9286,0.9286000000000001,928.6000000000001,12.26806640625
L + CS-Veh,Veh-1,Before,5,9640,0.9640000000000001,964.0000000000001,11.90185546875
L + CS-Veh,Veh-1,Before,5,9984,0.9984000000000001,998.4000000000001,12.02392578125
L + CS-Veh,Veh-1,Before,5,10319,1.0319,1031.9,12.0849609375
L + CS-Veh,Veh-1,Before,5,10648,1.0648,1064.8,11.8408203125
L + CS-Veh,Veh-1,Before,5,10966,1.0966,1096.6,11.871337890625
L + CS-Veh,Veh-1,Before,6,1264,0.1264,126.4,17.7001953125
L + CS-Veh,Veh-1,Before,6,1414,0.1414,141.4,15.533447265625
L + CS-Veh,Veh-1,Before,6,1628,0.1628,162.8,14.678955078125
L + CS-Veh,Veh-1,Before,6,1853,0.18530000000000002,185.3,13.275146484375
L + CS-Veh,Veh-1,Before,6,2088,0.2088,208.8,12.8173828125
L + CS-Veh,Veh-1,Before,6,2342,0.23420000000000002,234.20000000000002,12.51220703125
L + CS-Veh,Veh-1,Before,6,2605,0.2605,260.5,11.71875
L + CS-Veh,Veh-1,Before,6,2870,0.28700000000000003,287.00000000000006,11.688232421875
L + CS-Veh,Veh-1,Before,6,3134,0.3134,313.40000000000003,11.566162109375
L + CS-Veh,Veh-1,Before,6,3405,0.3405,340.5,11.505126953125
L + CS-Veh,Veh-1,Before,6,3689,0.3689,368.9,11.505126953125
L + CS-Veh,Veh-1,Before,6,3968,0.39680000000000004,396.80000000000007,10.7421875
L + CS-Veh,Veh-1,Before,6,4235,0.42350000000000004,423.50000000000006,10.955810546875
L + CS-Veh,Veh-1,Before,6,4519,0.4519,451.90000000000003,10.894775390625
L + CS-Veh,Veh-1,Before,6,4791,0.4791,479.1,10.1318359375
L + CS-Veh,Veh-1,Before,6,5077,0.5077,507.70000000000005,10.284423828125
L + CS-Veh,Veh-1,Before,6,5365,0.5365,536.5,10.284423828125
L + CS-Veh,Veh-1,Before,6,5644,0.5644,564.4,10.772705078125
L + CS-Veh,Veh-1,Before,6,5942,0.5942000000000001,594.2,9.765625
L + CS-Veh,Veh-1,Before,6,6232,0.6232,623.1999999999999,10.19287109375
L + CS-Veh,Veh-1,Before,6,6519,0.6519,651.9000000000001,9.82666015625
L + CS-Veh,Veh-1,Before,6,6807,0.6807000000000001,680.7,9.6435546875
L + CS-Veh,Veh-1,Before,6,7091,0.7091000000000001,709.1,10.25390625
L + CS-Veh,Veh-1,Before,6,7388,0.7388,738.8000000000001,10.43701171875
L + CS-Veh,Veh-1,Before,6,7677,0.7677,767.7,9.765625
L + CS-Veh,Veh-1,Before,6,7968,0.7968000000000001,796.8000000000001,9.979248046875
L + CS-Veh,Veh-1,Before,6,8262,0.8262,826.2,9.735107421875
L + CS-Veh,Veh-1,Before,6,8556,0.8556,855.6,9.1552734375
L + CS-Veh,Veh-1,Before,6,8838,0.8838,883.8000000000001,9.735107421875
L + CS-Veh,Veh-1,Before,6,9139,0.9139,913.9000000000001,9.3994140625
L + CS-Veh,Veh-1,Before,6,9430,0.9430000000000001,943.0000000000001,10.31494140625
L + CS-Veh,Veh-1,Before,6,9718,0.9718,971.8,10.162353515625
L + CS-Veh,Veh-1,Before,6,10018,1.0018,1001.8000000000001,9.33837890625
L + CS-Veh,Veh-1,Before,6,10309,1.0309000000000001,1030.9,8.941650390625
L + CS-Veh,Veh-1,Before,6,10596,1.0596,1059.6000000000001,9.46044921875
L + CS-Veh,Veh-1,Before,6,10902,1.0902,1090.2,9.124755859375
L + CS-Veh,Veh-1,Before,6,11186,1.1186,1118.6000000000001,9.246826171875
L + CS-Veh,Veh-1,Before,7,1259,0.1259,125.9,17.730712890625
L + CS-Veh,Veh-1,Before,7,1364,0.1364,136.4,13.73291015625
L + CS-Veh,Veh-1,Before,7,1551,0.15510000000000002,155.10000000000002,13.671875
L + CS-Veh,Veh-1,Before,7,1746,0.1746,174.6,12.02392578125
L + CS-Veh,Veh-1,Before,7,1965,0.1965,196.5,11.505126953125
L + CS-Veh,Veh-1,Before,7,2187,0.2187,218.70000000000002,11.29150390625
L + CS-Veh,Veh-1,Before,7,2407,0.24070000000000003,240.70000000000002,10.68115234375
L + CS-Veh,Veh-1,Before,7,2641,0.2641,264.1,9.918212890625
L + CS-Veh,Veh-1,Before,7,2880,0.28800000000000003,288.00000000000006,9.674072265625
L + CS-Veh,Veh-1,Before,7,3122,0.31220000000000003,312.20000000000005,10.07080078125
L + CS-Veh,Veh-1,Before,7,3367,0.3367,336.7,10.284423828125
L + CS-Veh,Veh-1,Before,7,3607,0.3607,360.70000000000005,9.552001953125
L + CS-Veh,Veh-1,Before,7,3853,0.38530000000000003,385.3,9.09423828125
L + CS-Veh,Veh-1,Before,7,4102,0.4102,410.2,9.429931640625
L + CS-Veh,Veh-1,Before,7,4360,0.436,436.0,8.6669921875
L + CS-Veh,Veh-1,Before,7,4615,0.4615,461.5,8.636474609375
L + CS-Veh,Veh-1,Before,7,4871,0.48710000000000003,487.1,9.3994140625
L + CS-Veh,Veh-1,Before,7,5120,0.512,512.0,8.72802734375
L + CS-Veh,Veh-1,Before,7,5366,0.5366000000000001,536.6,8.544921875
L + CS-Veh,Veh-1,Before,7,5624,0.5624,562.4,8.697509765625
L + CS-Veh,Veh-1,Before,7,5879,0.5879,587.9,8.087158203125
L + CS-Veh,Veh-1,Before,7,6131,0.6131,613.1,8.209228515625
L + CS-Veh,Veh-1,Before,7,6388,0.6388,638.8000000000001,7.87353515625
L + CS-Veh,Veh-1,Before,7,6646,0.6646000000000001,664.6000000000001,8.11767578125
L + CS-Veh,Veh-1,Before,7,6910,0.6910000000000001,691.0000000000001,7.9345703125
L + CS-Veh,Veh-1,Before,7,7165,0.7165,716.5,8.209228515625
L + CS-Veh,Veh-1,Before,7,7422,0.7422000000000001,742.2,8.209228515625
L + CS-Veh,Veh-1,Before,7,7674,0.7674000000000001,767.4000000000001,8.30078125
L + CS-Veh,Veh-1,Before,7,7932,0.7932,793.2,7.049560546875
L + CS-Veh,Veh-1,Before,7,8198,0.8198000000000001,819.8000000000001,7.537841796875
L + CS-Veh,Veh-1,Before,7,8473,0.8473,847.3000000000001,7.26318359375
L + CS-Veh,Veh-1,Before,7,8730,0.873,873.0,7.720947265625
L + CS-Veh,Veh-1,Before,7,8988,0.8988,898.8000000000001,7.9345703125
L + CS-Veh,Veh-1,Before,7,9246,0.9246000000000001,924.6000000000001,7.415771484375
L + CS-Veh,Veh-1,Before,7,9511,0.9511000000000001,951.1,7.965087890625
L + CS-Veh,Veh-1,Before,7,9778,0.9778,977.8,8.056640625
L + CS-Veh,Veh-1,Before,7,10038,1.0038,1003.8000000000001,6.9580078125
L + CS-Veh,Veh-1,Before,7,10298,1.0298,1029.8,7.26318359375
L + CS-Veh,Veh-1,Before,7,10570,1.0570000000000002,1057.0000000000002,7.32421875
L + CS-Veh,Veh-1,Before,7,10841,1.0841,1084.1000000000001,6.744384765625
L + CS-Veh,Veh-1,Before,7,11094,1.1094000000000002,1109.4,6.53076171875
L + CS-Veh,Veh-1,Before,8,1252,0.1252,125.2,16.510009765625
L + CS-Veh,Veh-1,Before,8,1340,0.134,134.0,12.63427734375
L + CS-Veh,Veh-1,Before,8,1506,0.1506,150.60000000000002,11.688232421875
L + CS-Veh,Veh-1,Before,8,1679,0.16790000000000002,167.90000000000003,10.7421875
L + CS-Veh,Veh-1,Before,8,1869,0.1869,186.9,10.31494140625
L + CS-Veh,Veh-1,Before,8,2068,0.2068,206.8,9.735107421875
L + CS-Veh,Veh-1,Before,8,2271,0.22710000000000002,227.10000000000002,9.1552734375
L + CS-Veh,Veh-1,Before,8,2478,0.24780000000000002,247.8,8.819580078125
L + CS-Veh,Veh-1,Before,8,2693,0.26930000000000004,269.3,8.48388671875
L + CS-Veh,Veh-1,Before,8,2913,0.2913,291.3,8.23974609375
L + CS-Veh,Veh-1,Before,8,3139,0.3139,313.90000000000003,7.659912109375
L + CS-Veh,Veh-1,Before,8,3363,0.33630000000000004,336.30000000000007,8.48388671875
L + CS-Veh,Veh-1,Before,8,3587,0.3587,358.70000000000005,8.30078125
L + CS-Veh,Veh-1,Before,8,3819,0.3819,381.90000000000003,8.056640625
L + CS-Veh,Veh-1,Before,8,4051,0.4051,405.1,6.683349609375
L + CS-Veh,Veh-1,Before,8,4276,0.42760000000000004,427.6,7.87353515625
L + CS-Veh,Veh-1,Before,8,4508,0.45080000000000003,450.8,7.415771484375
L + CS-Veh,Veh-1,Before,8,4737,0.4737,473.7,7.080078125
L + CS-Veh,Veh-1,Before,8,4967,0.49670000000000003,496.70000000000005,6.011962890625
L + CS-Veh,Veh-1,Before,8,5199,0.5199,519.9,7.354736328125
L + CS-Veh,Veh-1,Before,8,5439,0.5439,543.9000000000001,6.439208984375
L + CS-Veh,Veh-1,Before,8,5681,0.5681,568.1,6.561279296875
L + CS-Veh,Veh-1,Before,8,5928,0.5928,592.8,6.256103515625
L + CS-Veh,Veh-1,Before,8,6176,0.6176,617.6,6.28662109375
L + CS-Veh,Veh-1,Before,8,6418,0.6418,641.8000000000001,5.950927734375
L + CS-Veh,Veh-1,Before,8,6654,0.6654,665.4,5.55419921875
L + CS-Veh,Veh-1,Before,8,6896,0.6896,689.6,5.889892578125
L + CS-Veh,Veh-1,Before,8,7146,0.7146,714.6,6.103515625
L + CS-Veh,Veh-1,Before,8,7390,0.739,739.0,5.4931640625
L + CS-Veh,Veh-1,Before,8,7636,0.7636000000000001,763.6,5.9814453125
L + CS-Veh,Veh-1,Before,8,7877,0.7877000000000001,787.7,6.04248046875
L + CS-Veh,Veh-1,Before,8,8116,0.8116,811.6,6.4697265625
L + CS-Veh,Veh-1,Before,8,8365,0.8365,836.5,6.34765625
L + CS-Veh,Veh-1,Before,8,8597,0.8597,859.7,6.500244140625
L + CS-Veh,Veh-1,Before,8,8850,0.885,885.0,5.157470703125
L + CS-Veh,Veh-1,Before,8,9106,0.9106000000000001,910.6,5.157470703125
L + CS-Veh,Veh-1,Before,8,9349,0.9349000000000001,934.9000000000001,4.82177734375
L + CS-Veh,Veh-1,Before,8,9587,0.9587,958.7,5.31005859375
L + CS-Veh,Veh-1,Before,8,9841,0.9841000000000001,984.1000000000001,5.584716796875
L + CS-Veh,Veh-1,Before,8,10092,1.0092,1009.2,4.669189453125
L + CS-Veh,Veh-1,Before,8,10334,1.0334,1033.4,5.401611328125
L + CS-Veh,Veh-1,Before,8,10586,1.0586,1058.6,5.0048828125
L + CS-Veh,Veh-1,Before,8,10839,1.0839,1083.9,4.547119140625
L + CS-Veh,Veh-1,Before,8,11097,1.1097000000000001,1109.7,4.730224609375
L + CS-Veh,Veh-1,Before,9,1251,0.12510000000000002,125.10000000000002,15.716552734375
L + CS-Veh,Veh-1,Before,9,1325,0.1325,132.5,11.1083984375
L + CS-Veh,Veh-1,Before,9,1480,0.14800000000000002,148.00000000000003,9.94873046875
L + CS-Veh,Veh-1,Before,9,1637,0.1637,163.70000000000002,9.58251953125
L + CS-Veh,Veh-1,Before,9,1819,0.1819,181.9,8.941650390625
L + CS-Veh,Veh-1,Before,9,2005,0.2005,200.5,7.99560546875
L + CS-Veh,Veh-1,Before,9,2197,0.2197,219.70000000000002,8.11767578125
L + CS-Veh,Veh-1,Before,9,2394,0.2394,239.4,6.77490234375
L + CS-Veh,Veh-1,Before,9,2596,0.2596,259.6,6.77490234375
L + CS-Veh,Veh-1,Before,9,2801,0.2801,280.1,6.866455078125
L + CS-Veh,Veh-1,Before,9,3015,0.3015,301.5,7.080078125
L + CS-Veh,Veh-1,Before,9,3229,0.3229,322.90000000000003,6.439208984375
L + CS-Veh,Veh-1,Before,9,3447,0.3447,344.7,6.16455078125
L + CS-Veh,Veh-1,Before,9,3666,0.36660000000000004,366.6,5.889892578125
L + CS-Veh,Veh-1,Before,9,3875,0.3875,387.5,5.92041015625
L + CS-Veh,Veh-1,Before,9,4097,0.4097,409.7,6.2255859375
