Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + CS-Veh,Veh-6,Before,0,"[[0.04881720430107522, 8.996097625248026], [1.1880860215053763, 8.706229073660722]]",0,[],[]
L + CS-Veh,Veh-6,Before,1,"[[0.04881720430107522, 8.996097625248026], [1.1880860215053763, 8.706229073660722]]",0,[],[]
L + CS-Veh,Veh-6,Before,2,"[[0.04881720430107522, 8.996097625248026], [1.1880860215053763, 8.706229073660722]]",0,[],[]
L + CS-Veh,Veh-6,Before,3,"[[0.04881720430107522, 8.996097625248026], [1.1880860215053763, 8.706229073660722]]",0,[],[]
L + CS-Veh,Veh-6,Before,4,"[[0.04881720430107522, 8.996097625248026], [1.1880860215053763, 8.706229073660722]]",1,[1498],[0.14980000000000002]
L + CS-Veh,Veh-6,Before,5,"[[0.04881720430107522, 8.996097625248026], [1.1880860215053763, 8.706229073660722]]",3,"[1385, 1867, 7322]","[0.1385, 0.1867, 0.7322000000000001]"
L + CS-Veh,Veh-6,Before,6,"[[0.04881720430107522, 8.996097625248026], [1.1880860215053763, 8.706229073660722]]",6,"[1329, 1618, 2162, 3535, 6940, 9027]","[0.13290000000000002, 0.1618, 0.2162, 0.35350000000000004, 0.6940000000000001, 0.9027000000000001]"
L + CS-Veh,Veh-6,Before,7,"[[0.04881720430107522, 8.996097625248026], [1.1880860215053763, 8.706229073660722]]",10,"[1312, 1526, 1860, 2242, 2729, 4229, 5810, 7405, 9068, 10981]","[0.1312, 0.1526, 0.186, 0.2242, 0.27290000000000003, 0.4229, 0.5810000000000001, 0.7405, 0.9068, 1.0981]"
L + CS-Veh,Veh-6,Before,8,"[[0.04881720430107522, 8.996097625248026], [1.1880860215053763, 8.706229073660722]]",18,"[1286, 1454, 1714, 2003, 2330, 2670, 3037, 3530, 3957, 4691, 5194, 6366, 6841, 7926, 8452, 9003, 9527, 10841]","[0.12860000000000002, 0.1454, 0.1714, 0.2003, 0.233, 0.267, 0.3037, 0.35300000000000004, 0.3957, 0.4691, 0.5194, 0.6366, 0.6841, 0.7926000000000001, 0.8452000000000001, 0.9003, 0.9527, 1.0841]"
L + CS-Veh,Veh-6,Before,9,"[[0.04881720430107522, 8.996097625248026], [1.1880860215053763, 8.706229073660722]]",35,"[1277, 1415, 1626, 1868, 2136, 2394, 2663, 2956, 3261, 3566, 3884, 4193, 4520, 4833, 5142, 5446, 5733, 6042, 6330, 6601, 6896, 7182, 7490, 7789, 8084, 8405, 8730, 9043, 9345, 9632, 9931, 10221, 10529, 10824, 11126]","[0.1277, 0.14150000000000001, 0.1626, 0.18680000000000002, 0.2136, 0.2394, 0.26630000000000004, 0.29560000000000003, 0.3261, 0.35660000000000003, 0.3884, 0.4193, 0.452, 0.4833, 0.5142, 0.5446, 0.5733, 0.6042000000000001, 0.633, 0.6601, 0.6896, 0.7182000000000001, 0.749, 0.7789, 0.8084, 0.8405, 0.873, 0.9043, 0.9345, 0.9632000000000001, 0.9931000000000001, 1.0221, 1.0529, 1.0824, 1.1126]"
