Group,Recording_ID,Label,Sweep_Number,Peak_Index,Peak_Time_s,Peak_Time_ms,Peak_Voltage_mV
L + CS-Veh,Veh-5,Before,5,1462,0.1462,146.2,41.07666015625
L + CS-Veh,Veh-5,Before,6,1378,0.1378,137.8,39.36767578125
L + CS-Veh,Veh-5,Before,6,1669,0.16690000000000002,166.90000000000003,40.130615234375
L + CS-Veh,Veh-5,Before,6,2133,0.21330000000000002,213.3,38.87939453125
L + CS-Veh,Veh-5,Before,6,2754,0.27540000000000003,275.40000000000003,38.14697265625
L + CS-Veh,Veh-5,Before,6,4012,0.4012,401.2,36.956787109375
L + CS-Veh,Veh-5,Before,6,8297,0.8297,829.7,38.116455078125
L + CS-Veh,Veh-5,Before,7,1346,0.1346,134.6,39.215087890625
L + CS-Veh,Veh-5,Before,7,1550,0.155,155.0,38.299560546875
L + CS-Veh,Veh-5,Before,7,1881,0.18810000000000002,188.10000000000002,37.933349609375
L + CS-Veh,Veh-5,Before,7,2261,0.22610000000000002,226.10000000000002,37.200927734375
L + CS-Veh,Veh-5,Before,7,2647,0.2647,264.7,37.139892578125
L + CS-Veh,Veh-5,Before,7,3111,0.3111,311.09999999999997,36.407470703125
L + CS-Veh,Veh-5,Before,7,3638,0.3638,363.8,35.369873046875
L + CS-Veh,Veh-5,Before,7,4292,0.4292,429.20000000000005,35.33935546875
L + CS-Veh,Veh-5,Before,7,4948,0.4948,494.8,35.5224609375
L + CS-Veh,Veh-5,Before,7,5444,0.5444,544.4,35.21728515625
L + CS-Veh,Veh-5,Before,7,7578,0.7578,757.8000000000001,35.430908203125
L + CS-Veh,Veh-5,Before,7,8194,0.8194,819.4,34.332275390625
L + CS-Veh,Veh-5,Before,7,8836,0.8836,883.6,34.912109375
L + CS-Veh,Veh-5,Before,7,9599,0.9599000000000001,959.9000000000001,33.416748046875
L + CS-Veh,Veh-5,Before,8,1332,0.1332,133.20000000000002,36.468505859375
L + CS-Veh,Veh-5,Before,8,1480,0.14800000000000002,148.00000000000003,36.07177734375
L + CS-Veh,Veh-5,Before,8,1743,0.1743,174.3,35.797119140625
L + CS-Veh,Veh-5,Before,8,2055,0.20550000000000002,205.50000000000003,35.430908203125
L + CS-Veh,Veh-5,Before,8,2385,0.23850000000000002,238.50000000000003,34.97314453125
L + CS-Veh,Veh-5,Before,8,2725,0.2725,272.5,35.064697265625
