Group,Recording_ID,Label,Sweep_Number,Peak_Index,Peak_Time_s,Peak_Time_ms,Peak_Voltage_mV
L + ACR2-CTZ,CTZ-8,Before,8,1340,0.134,134.0,12.908935546875
L + ACR2-CTZ,CTZ-8,Before,9,1260,0.126,126.0,12.451171875
L + ACR2-CTZ,CTZ-8,Before,9,1429,0.1429,142.9,12.664794921875
L + ACR2-CTZ,CTZ-8,Before,9,1673,0.1673,167.3,13.3056640625
L + ACR2-CTZ,CTZ-8,Before,9,6636,0.6636000000000001,663.6,13.36669921875
L + ACR2-CTZ,CTZ-8,Before,9,7452,0.7452000000000001,745.2,12.939453125
L + ACR2-CTZ,CTZ-8,Before,9,9065,0.9065000000000001,906.5000000000001,13.36669921875
L + ACR2-CTZ,CTZ-8,Before,9,10232,1.0232,1023.2000000000002,11.932373046875
