Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + CS-CTZ,CTZ-2,Before,0,"[[0.09045161290322573, -5.211396063053755], [1.0871541218637992, -14.134378536089194]]",0,[],[]
L + CS-CTZ,CTZ-2,Before,1,"[[0.09045161290322573, -5.211396063053755], [1.0871541218637992, -14.134378536089194]]",0,[],[]
L + CS-CTZ,CTZ-2,Before,2,"[[0.09045161290322573, -5.211396063053755], [1.0871541218637992, -14.134378536089194]]",0,[],[]
L + CS-CTZ,CTZ-2,Before,3,"[[0.09045161290322573, -5.211396063053755], [1.0871541218637992, -14.134378536089194]]",0,[],[]
L + CS-CTZ,CTZ-2,Before,4,"[[0.09045161290322573, -5.211396063053755], [1.0871541218637992, -14.134378536089194]]",3,"[1319, 1616, 2062]","[0.13190000000000002, 0.16160000000000002, 0.20620000000000002]"
L + CS-CTZ,CTZ-2,Before,5,"[[0.09045161290322573, -5.211396063053755], [1.0871541218637992, -14.134378536089194]]",10,"[1294, 1491, 1697, 1934, 2199, 2452, 2706, 2982, 3257, 3524]","[0.12940000000000002, 0.1491, 0.16970000000000002, 0.19340000000000002, 0.2199, 0.2452, 0.2706, 0.2982, 0.3257, 0.3524]"
L + CS-CTZ,CTZ-2,Before,6,"[[0.09045161290322573, -5.211396063053755], [1.0871541218637992, -14.134378536089194]]",28,"[1278, 1426, 1591, 1762, 1941, 2119, 2301, 2504, 2697, 2890, 3106, 3304, 3517, 3721, 3927, 4158, 4372, 4605, 4825, 5076, 5299, 5530, 5740, 5994, 6230, 6461, 6703, 6948]","[0.1278, 0.1426, 0.15910000000000002, 0.1762, 0.19410000000000002, 0.2119, 0.2301, 0.2504, 0.2697, 0.28900000000000003, 0.3106, 0.3304, 0.3517, 0.37210000000000004, 0.3927, 0.4158, 0.43720000000000003, 0.4605, 0.48250000000000004, 0.5076, 0.5299, 0.553, 0.5740000000000001, 0.5994, 0.623, 0.6461, 0.6703, 0.6948000000000001]"
L + CS-CTZ,CTZ-2,Before,7,"[[0.09045161290322573, -5.211396063053755], [1.0871541218637992, -14.134378536089194]]",23,"[1269, 1389, 1524, 1669, 1822, 1976, 2136, 2294, 2462, 2635, 2808, 2986, 3158, 3337, 3519, 3698, 3887, 4072, 4250, 4453, 4662, 4861, 5072]","[0.1269, 0.1389, 0.1524, 0.16690000000000002, 0.1822, 0.1976, 0.2136, 0.22940000000000002, 0.2462, 0.2635, 0.2808, 0.29860000000000003, 0.3158, 0.3337, 0.3519, 0.3698, 0.38870000000000005, 0.4072, 0.42500000000000004, 0.44530000000000003, 0.4662, 0.48610000000000003, 0.5072]"
L + CS-CTZ,CTZ-2,Before,8,"[[0.09045161290322573, -5.211396063053755], [1.0871541218637992, -14.134378536089194]]",52,"[1263, 1366, 1482, 1605, 1735, 1869, 2005, 2155, 2296, 2449, 2588, 2735, 2888, 3037, 3192, 3345, 3508, 3667, 3835, 4007, 4184, 4354, 4528, 4702, 4873, 5050, 5223, 5404, 5584, 5759, 5943, 6117, 6319, 6492, 6678, 6864, 7052, 7241, 7464, 7678, 7868, 8066, 8266, 8477, 8696, 8912, 9096, 9304, 9499, 9718, 9916, 10123]","[0.1263, 0.1366, 0.1482, 0.1605, 0.17350000000000002, 0.1869, 0.2005, 0.2155, 0.2296, 0.2449, 0.25880000000000003, 0.2735, 0.2888, 0.3037, 0.31920000000000004, 0.3345, 0.3508, 0.3667, 0.3835, 0.4007, 0.4184, 0.4354, 0.45280000000000004, 0.4702, 0.4873, 0.505, 0.5223, 0.5404, 0.5584, 0.5759000000000001, 0.5943, 0.6117, 0.6319, 0.6492, 0.6678000000000001, 0.6864, 0.7052, 0.7241000000000001, 0.7464000000000001, 0.7678, 0.7868, 0.8066, 0.8266, 0.8477, 0.8696, 0.8912, 0.9096000000000001, 0.9304, 0.9499000000000001, 0.9718, 0.9916, 1.0123]"
L + CS-CTZ,CTZ-2,Before,9,"[[0.09045161290322573, -5.211396063053755], [1.0871541218637992, -14.134378536089194]]",35,"[1260, 1356, 1466, 1582, 1710, 1843, 1977, 2109, 2247, 2394, 2541, 2691, 2837, 2999, 3157, 3315, 3476, 3640, 3802, 3959, 4118, 4281, 4439, 4605, 4779, 4949, 5116, 5294, 5467, 5653, 5859, 6046, 6240, 6446, 6649]","[0.126, 0.1356, 0.1466, 0.1582, 0.171, 0.18430000000000002, 0.19770000000000001, 0.2109, 0.2247, 0.2394, 0.2541, 0.2691, 0.2837, 0.2999, 0.31570000000000004, 0.3315, 0.3476, 0.364, 0.38020000000000004, 0.39590000000000003, 0.4118, 0.42810000000000004, 0.4439, 0.4605, 0.47790000000000005, 0.4949, 0.5116, 0.5294, 0.5467000000000001, 0.5653, 0.5859, 0.6046, 0.624, 0.6446000000000001, 0.6649]"
L + CS-CTZ,CTZ-2,After,0,"[[0.08680789600385169, -14.105711627736028], [0.7655560905151662, -15.86945701899731]]",1,[11761],[1.1761000000000001]
L + CS-CTZ,CTZ-2,After,1,"[[0.08680789600385169, -14.105711627736028], [0.7655560905151662, -15.86945701899731]]",0,[],[]
L + CS-CTZ,CTZ-2,After,2,"[[0.08680789600385169, -14.105711627736028], [0.7655560905151662, -15.86945701899731]]",0,[],[]
L + CS-CTZ,CTZ-2,After,3,"[[0.08680789600385169, -14.105711627736028], [0.7655560905151662, -15.86945701899731]]",44,"[1299, 1415, 1543, 1698, 1857, 2034, 2229, 2428, 2626, 2823, 3049, 3253, 3469, 3680, 3884, 4092, 4323, 4548, 4767, 4998, 5243, 5471, 5695, 5942, 6195, 6433, 6682, 6934, 7170, 7420, 7669, 7926, 8175, 8431, 8689, 8966, 9212, 9469, 9727, 10000, 10309, 10583, 10854, 11133]","[0.12990000000000002, 0.14150000000000001, 0.15430000000000002, 0.1698, 0.1857, 0.2034, 0.22290000000000001, 0.24280000000000002, 0.2626, 0.2823, 0.3049, 0.32530000000000003, 0.34690000000000004, 0.368, 0.3884, 0.4092, 0.4323, 0.45480000000000004, 0.4767, 0.4998, 0.5243, 0.5471, 0.5695, 0.5942000000000001, 0.6195, 0.6433, 0.6682, 0.6934, 0.7170000000000001, 0.742, 0.7669, 0.7926000000000001, 0.8175, 0.8431000000000001, 0.8689, 0.8966000000000001, 0.9212, 0.9469000000000001, 0.9727, 1.0, 1.0309000000000001, 1.0583, 1.0854000000000001, 1.1133]"
L + CS-CTZ,CTZ-2,After,4,"[[0.08680789600385169, -14.105711627736028], [0.7655560905151662, -15.86945701899731]]",70,"[1281, 1354, 1439, 1537, 1640, 1752, 1861, 1979, 2101, 2229, 2355, 2481, 2606, 2733, 2860, 2987, 3115, 3249, 3379, 3511, 3656, 3787, 3935, 4070, 4195, 4320, 4459, 4599, 4742, 4881, 5028, 5160, 5294, 5445, 5584, 5725, 5867, 6015, 6168, 6318, 6453, 6594, 6750, 6897, 7040, 7193, 7340, 7491, 7661, 7819, 7977, 8136, 8301, 8455, 8633, 8805, 8962, 9112, 9272, 9428, 9598, 9774, 9937, 10106, 10272, 10436, 10622, 10786, 10954, 11112]","[0.12810000000000002, 0.13540000000000002, 0.1439, 0.1537, 0.164, 0.1752, 0.18610000000000002, 0.19790000000000002, 0.2101, 0.22290000000000001, 0.23550000000000001, 0.24810000000000001, 0.2606, 0.2733, 0.28600000000000003, 0.2987, 0.3115, 0.3249, 0.33790000000000003, 0.3511, 0.36560000000000004, 0.37870000000000004, 0.3935, 0.40700000000000003, 0.41950000000000004, 0.432, 0.4459, 0.45990000000000003, 0.4742, 0.48810000000000003, 0.5028, 0.516, 0.5294, 0.5445, 0.5584, 0.5725, 0.5867, 0.6015, 0.6168, 0.6318, 0.6453, 0.6594, 0.675, 0.6897, 0.7040000000000001, 0.7193, 0.734, 0.7491, 0.7661, 0.7819, 0.7977000000000001, 0.8136, 0.8301000000000001, 0.8455, 0.8633000000000001, 0.8805000000000001, 0.8962, 0.9112, 0.9272, 0.9428000000000001, 0.9598000000000001, 0.9774, 0.9937, 1.0106, 1.0272000000000001, 1.0436, 1.0622, 1.0786, 1.0954000000000002, 1.1112]"
L + CS-CTZ,CTZ-2,After,5,"[[0.08680789600385169, -14.105711627736028], [0.7655560905151662, -15.86945701899731]]",91,"[1272, 1332, 1402, 1476, 1557, 1634, 1719, 1805, 1888, 1981, 2069, 2159, 2263, 2359, 2454, 2549, 2649, 2751, 2851, 2946, 3045, 3145, 3243, 3344, 3444, 3549, 3653, 3759, 3862, 3967, 4072, 4177, 4290, 4399, 4507, 4607, 4713, 4828, 4936, 5040, 5146, 5259, 5369, 5481, 5589, 5714, 5830, 5946, 6056, 6174, 6289, 6407, 6529, 6642, 6758, 6877, 6996, 7106, 7222, 7337, 7450, 7564, 7682, 7803, 7918, 8042, 8155, 8272, 8396, 8522, 8636, 8756, 8877, 9001, 9139, 9269, 9400, 9532, 9661, 9793, 9927, 10056, 10179, 10303, 10436, 10572, 10697, 10823, 10966, 11096, 11226]","[0.1272, 0.1332, 0.14020000000000002, 0.1476, 0.1557, 0.16340000000000002, 0.1719, 0.18050000000000002, 0.1888, 0.1981, 0.2069, 0.2159, 0.2263, 0.2359, 0.2454, 0.2549, 0.2649, 0.2751, 0.2851, 0.29460000000000003, 0.3045, 0.3145, 0.32430000000000003, 0.33440000000000003, 0.34440000000000004, 0.3549, 0.3653, 0.3759, 0.38620000000000004, 0.3967, 0.4072, 0.4177, 0.42900000000000005, 0.4399, 0.45070000000000005, 0.4607, 0.4713, 0.4828, 0.49360000000000004, 0.504, 0.5146000000000001, 0.5259, 0.5369, 0.5481, 0.5589000000000001, 0.5714, 0.5830000000000001, 0.5946, 0.6056, 0.6174000000000001, 0.6289, 0.6407, 0.6529, 0.6642, 0.6758000000000001, 0.6877, 0.6996, 0.7106, 0.7222000000000001, 0.7337, 0.745, 0.7564000000000001, 0.7682, 0.7803, 0.7918000000000001, 0.8042, 0.8155, 0.8272, 0.8396, 0.8522000000000001, 0.8636, 0.8756, 0.8877, 0.9001, 0.9139, 0.9269000000000001, 0.9400000000000001, 0.9532, 0.9661000000000001, 0.9793000000000001, 0.9927, 1.0056, 1.0179, 1.0303, 1.0436, 1.0572000000000001, 1.0697, 1.0823, 1.0966, 1.1096000000000001, 1.1226]"
L + CS-CTZ,CTZ-2,After,6,"[[0.08680789600385169, -14.105711627736028], [0.7655560905151662, -15.86945701899731]]",108,"[1263, 1309, 1363, 1424, 1489, 1557, 1628, 1698, 1770, 1843, 1918, 1993, 2069, 2143, 2219, 2294, 2375, 2455, 2537, 2615, 2696, 2780, 2868, 2953, 3036, 3126, 3211, 3297, 3384, 3474, 3556, 3646, 3735, 3820, 3907, 4000, 4093, 4187, 4275, 4367, 4465, 4556, 4646, 4736, 4827, 4920, 5011, 5110, 5212, 5305, 5398, 5490, 5591, 5686, 5783, 5880, 5978, 6075, 6173, 6270, 6364, 6465, 6560, 6659, 6749, 6843, 6940, 7041, 7135, 7231, 7336, 7431, 7534, 7638, 7736, 7840, 7947, 8049, 8147, 8255, 8354, 8457, 8572, 8672, 8767, 8867, 8968, 9077, 9184, 9287, 9394, 9501, 9607, 9718, 9817, 9927, 10031, 10141, 10242, 10345, 10457, 10571, 10676, 10783, 10889, 10997, 11110, 11220]","[0.1263, 0.13090000000000002, 0.1363, 0.1424, 0.1489, 0.1557, 0.1628, 0.1698, 0.17700000000000002, 0.18430000000000002, 0.1918, 0.1993, 0.2069, 0.21430000000000002, 0.22190000000000001, 0.22940000000000002, 0.23750000000000002, 0.24550000000000002, 0.25370000000000004, 0.2615, 0.2696, 0.278, 0.2868, 0.2953, 0.30360000000000004, 0.3126, 0.3211, 0.3297, 0.33840000000000003, 0.34740000000000004, 0.3556, 0.36460000000000004, 0.3735, 0.382, 0.3907, 0.4, 0.4093, 0.4187, 0.42750000000000005, 0.43670000000000003, 0.4465, 0.4556, 0.4646, 0.4736, 0.4827, 0.49200000000000005, 0.5011, 0.511, 0.5212, 0.5305, 0.5398000000000001, 0.549, 0.5591, 0.5686, 0.5783, 0.5880000000000001, 0.5978, 0.6075, 0.6173000000000001, 0.627, 0.6364000000000001, 0.6465000000000001, 0.656, 0.6659, 0.6749, 0.6843, 0.6940000000000001, 0.7041000000000001, 0.7135, 0.7231000000000001, 0.7336, 0.7431, 0.7534000000000001, 0.7638, 0.7736000000000001, 0.784, 0.7947000000000001, 0.8049000000000001, 0.8147000000000001, 0.8255, 0.8354, 0.8457, 0.8572000000000001, 0.8672000000000001, 0.8767, 0.8867, 0.8968, 0.9077000000000001, 0.9184, 0.9287000000000001, 0.9394, 0.9501000000000001, 0.9607, 0.9718, 0.9817, 0.9927, 1.0031, 1.0141, 1.0242, 1.0345, 1.0457, 1.0571000000000002, 1.0676, 1.0783, 1.0889, 1.0997000000000001, 1.111, 1.122]"
L + CS-CTZ,CTZ-2,After,7,"[[0.08680789600385169, -14.105711627736028], [0.7655560905151662, -15.86945701899731]]",123,"[1260, 1300, 1347, 1400, 1457, 1517, 1579, 1643, 1707, 1769, 1831, 1897, 1964, 2030, 2098, 2168, 2238, 2307, 2379, 2451, 2522, 2592, 2664, 2736, 2808, 2882, 2960, 3033, 3108, 3184, 3260, 3336, 3414, 3490, 3570, 3646, 3725, 3805, 3879, 3962, 4037, 4118, 4193, 4278, 4361, 4442, 4525, 4605, 4688, 4772, 4850, 4929, 5021, 5099, 5182, 5265, 5348, 5430, 5512, 5599, 5684, 5774, 5855, 5942, 6027, 6114, 6200, 6281, 6366, 6451, 6533, 6616, 6700, 6789, 6873, 6959, 7042, 7123, 7209, 7290, 7381, 7472, 7559, 7655, 7745, 7834, 7925, 8016, 8104, 8190, 8281, 8372, 8460, 8555, 8642, 8733, 8821, 8914, 9000, 9090, 9182, 9281, 9370, 9464, 9553, 9643, 9731, 9818, 9914, 10005, 10101, 10189, 10284, 10370, 10465, 10552, 10635, 10725, 10816, 10908, 11002, 11094, 11189]","[0.126, 0.13, 0.13470000000000001, 0.14, 0.1457, 0.1517, 0.1579, 0.1643, 0.17070000000000002, 0.1769, 0.1831, 0.1897, 0.19640000000000002, 0.203, 0.20980000000000001, 0.21680000000000002, 0.2238, 0.23070000000000002, 0.2379, 0.2451, 0.25220000000000004, 0.2592, 0.2664, 0.2736, 0.2808, 0.2882, 0.29600000000000004, 0.3033, 0.3108, 0.3184, 0.326, 0.3336, 0.34140000000000004, 0.34900000000000003, 0.35700000000000004, 0.36460000000000004, 0.3725, 0.3805, 0.3879, 0.3962, 0.4037, 0.4118, 0.4193, 0.4278, 0.43610000000000004, 0.44420000000000004, 0.4525, 0.4605, 0.46880000000000005, 0.4772, 0.48500000000000004, 0.4929, 0.5021, 0.5099, 0.5182, 0.5265000000000001, 0.5348, 0.543, 0.5512, 0.5599000000000001, 0.5684, 0.5774, 0.5855, 0.5942000000000001, 0.6027, 0.6114, 0.62, 0.6281, 0.6366, 0.6451, 0.6533, 0.6616000000000001, 0.67, 0.6789000000000001, 0.6873, 0.6959000000000001, 0.7042, 0.7123, 0.7209, 0.729, 0.7381000000000001, 0.7472000000000001, 0.7559, 0.7655000000000001, 0.7745000000000001, 0.7834, 0.7925000000000001, 0.8016000000000001, 0.8104, 0.8190000000000001, 0.8281000000000001, 0.8372, 0.8460000000000001, 0.8555, 0.8642000000000001, 0.8733000000000001, 0.8821, 0.8914000000000001, 0.9, 0.909, 0.9182, 0.9281, 0.937, 0.9464, 0.9553, 0.9643, 0.9731000000000001, 0.9818, 0.9914000000000001, 1.0005, 1.0101, 1.0189000000000001, 1.0284, 1.0370000000000001, 1.0465, 1.0552000000000001, 1.0635000000000001, 1.0725, 1.0816000000000001, 1.0908, 1.1002, 1.1094000000000002, 1.1189]"
L + CS-CTZ,CTZ-2,After,8,"[[0.08680789600385169, -14.105711627736028], [0.7655560905151662, -15.86945701899731]]",138,"[1256, 1292, 1334, 1383, 1434, 1485, 1541, 1596, 1652, 1710, 1771, 1827, 1885, 1947, 2010, 2073, 2134, 2195, 2258, 2323, 2388, 2453, 2519, 2584, 2651, 2719, 2792, 2858, 2925, 2987, 3053, 3119, 3186, 3255, 3328, 3398, 3467, 3534, 3604, 3670, 3746, 3819, 3893, 3964, 4036, 4108, 4181, 4254, 4323, 4397, 4470, 4538, 4610, 4681, 4757, 4831, 4902, 4975, 5045, 5117, 5197, 5267, 5340, 5412, 5484, 5558, 5631, 5708, 5790, 5867, 5943, 6019, 6096, 6173, 6250, 6325, 6400, 6475, 6550, 6629, 6705, 6786, 6862, 6937, 7017, 7098, 7175, 7257, 7331, 7408, 7485, 7557, 7640, 7720, 7802, 7876, 7952, 8030, 8100, 8175, 8255, 8326, 8401, 8483, 8563, 8646, 8725, 8806, 8885, 8959, 9042, 9119, 9196, 9276, 9355, 9439, 9522, 9602, 9681, 9762, 9841, 9921, 10001, 10081, 10161, 10241, 10322, 10403, 10485, 10564, 10646, 10728, 10810, 10894, 10969, 11055, 11138, 11221]","[0.12560000000000002, 0.1292, 0.13340000000000002, 0.1383, 0.1434, 0.14850000000000002, 0.15410000000000001, 0.15960000000000002, 0.1652, 0.171, 0.1771, 0.1827, 0.1885, 0.1947, 0.201, 0.2073, 0.2134, 0.2195, 0.2258, 0.2323, 0.2388, 0.24530000000000002, 0.2519, 0.2584, 0.2651, 0.27190000000000003, 0.2792, 0.2858, 0.29250000000000004, 0.2987, 0.3053, 0.3119, 0.3186, 0.3255, 0.33280000000000004, 0.3398, 0.3467, 0.3534, 0.3604, 0.367, 0.37460000000000004, 0.3819, 0.38930000000000003, 0.39640000000000003, 0.4036, 0.4108, 0.4181, 0.4254, 0.4323, 0.43970000000000004, 0.447, 0.45380000000000004, 0.461, 0.4681, 0.4757, 0.48310000000000003, 0.4902, 0.4975, 0.5045000000000001, 0.5117, 0.5197, 0.5267000000000001, 0.534, 0.5412, 0.5484, 0.5558000000000001, 0.5631, 0.5708, 0.5790000000000001, 0.5867, 0.5943, 0.6019, 0.6096, 0.6173000000000001, 0.625, 0.6325000000000001, 0.64, 0.6475000000000001, 0.655, 0.6629, 0.6705, 0.6786, 0.6862, 0.6937, 0.7017, 0.7098, 0.7175, 0.7257, 0.7331000000000001, 0.7408, 0.7485, 0.7557, 0.764, 0.772, 0.7802, 0.7876000000000001, 0.7952, 0.803, 0.81, 0.8175, 0.8255, 0.8326, 0.8401000000000001, 0.8483, 0.8563000000000001, 0.8646, 0.8725, 0.8806, 0.8885000000000001, 0.8959, 0.9042, 0.9119, 0.9196000000000001, 0.9276000000000001, 0.9355, 0.9439000000000001, 0.9522, 0.9602, 0.9681000000000001, 0.9762000000000001, 0.9841000000000001, 0.9921000000000001, 1.0001, 1.0081, 1.0161, 1.0241, 1.0322, 1.0403, 1.0485, 1.0564, 1.0646, 1.0728, 1.081, 1.0894000000000001, 1.0969, 1.1055000000000001, 1.1138000000000001, 1.1221]"
L + CS-CTZ,CTZ-2,After,9,"[[0.08680789600385169, -14.105711627736028], [0.7655560905151662, -15.86945701899731]]",94,"[1255, 1290, 1331, 1375, 1423, 1474, 1526, 1580, 1631, 1684, 1740, 1794, 1848, 1902, 1957, 2016, 2074, 2131, 2191, 2254, 2311, 2370, 2431, 2490, 2547, 2608, 2669, 2728, 2787, 2847, 2907, 2967, 3029, 3093, 3153, 3215, 3277, 3340, 3403, 3465, 3530, 3595, 3658, 3720, 3781, 3847, 3913, 3979, 4042, 4109, 4174, 4238, 4303, 4366, 4427, 4492, 4561, 4624, 4690, 4755, 4822, 4887, 4955, 5021, 5087, 5151, 5216, 5285, 5355, 5424, 5494, 5563, 5628, 5696, 5768, 5833, 5899, 5967, 6037, 6106, 6174, 6245, 6318, 6386, 6458, 6528, 6602, 6674, 6747, 6821, 6892, 6968, 7039, 7117]","[0.1255, 0.129, 0.1331, 0.1375, 0.1423, 0.1474, 0.1526, 0.158, 0.1631, 0.16840000000000002, 0.17400000000000002, 0.1794, 0.18480000000000002, 0.1902, 0.1957, 0.2016, 0.2074, 0.2131, 0.21910000000000002, 0.22540000000000002, 0.2311, 0.23700000000000002, 0.2431, 0.249, 0.25470000000000004, 0.26080000000000003, 0.2669, 0.2728, 0.2787, 0.2847, 0.2907, 0.2967, 0.3029, 0.3093, 0.3153, 0.3215, 0.3277, 0.334, 0.3403, 0.34650000000000003, 0.35300000000000004, 0.35950000000000004, 0.3658, 0.372, 0.3781, 0.38470000000000004, 0.39130000000000004, 0.39790000000000003, 0.4042, 0.41090000000000004, 0.4174, 0.4238, 0.4303, 0.43660000000000004, 0.44270000000000004, 0.44920000000000004, 0.4561, 0.46240000000000003, 0.46900000000000003, 0.47550000000000003, 0.4822, 0.4887, 0.4955, 0.5021, 0.5087, 0.5151, 0.5216000000000001, 0.5285000000000001, 0.5355, 0.5424, 0.5494, 0.5563, 0.5628000000000001, 0.5696, 0.5768, 0.5833, 0.5899, 0.5967, 0.6037, 0.6106, 0.6174000000000001, 0.6245, 0.6318, 0.6386000000000001, 0.6458, 0.6528, 0.6602, 0.6674, 0.6747000000000001, 0.6821, 0.6892, 0.6968000000000001, 0.7039000000000001, 0.7117]"
