Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + CS-Veh,Veh-8,Before,0,"[[0.009706093189964127, -6.716410319010421], [1.145189964157706, -9.479462154327877]]",0,[],[]
L + CS-Veh,Veh-8,Before,1,"[[0.009706093189964127, -6.716410319010421], [1.145189964157706, -9.479462154327877]]",0,[],[]
L + CS-Veh,Veh-8,Before,2,"[[0.009706093189964127, -6.716410319010421], [1.145189964157706, -9.479462154327877]]",0,[],[]
L + CS-Veh,Veh-8,Before,3,"[[0.009706093189964127, -6.716410319010421], [1.145189964157706, -9.479462154327877]]",0,[],[]
L + CS-Veh,Veh-8,Before,4,"[[0.009706093189964127, -6.716410319010421], [1.145189964157706, -9.479462154327877]]",5,"[1597, 2432, 3940, 6061, 8752]","[0.1597, 0.2432, 0.394, 0.6061000000000001, 0.8752000000000001]"
L + CS-Veh,Veh-8,Before,5,"[[0.009706093189964127, -6.716410319010421], [1.145189964157706, -9.479462154327877]]",11,"[1411, 1765, 2260, 2858, 3631, 4474, 5364, 6323, 7406, 9587, 10400]","[0.1411, 0.17650000000000002, 0.226, 0.2858, 0.36310000000000003, 0.4474, 0.5364, 0.6323000000000001, 0.7406, 0.9587, 1.04]"
L + CS-Veh,Veh-8,Before,6,"[[0.009706093189964127, -6.716410319010421], [1.145189964157706, -9.479462154327877]]",17,"[1360, 1605, 1958, 2405, 2886, 3508, 4089, 4693, 5341, 6028, 6729, 7412, 8106, 8804, 9555, 10412, 11135]","[0.136, 0.1605, 0.1958, 0.24050000000000002, 0.2886, 0.3508, 0.40890000000000004, 0.4693, 0.5341, 0.6028, 0.6729, 0.7412000000000001, 0.8106, 0.8804000000000001, 0.9555, 1.0412000000000001, 1.1135000000000002]"
L + CS-Veh,Veh-8,Before,7,"[[0.009706093189964127, -6.716410319010421], [1.145189964157706, -9.479462154327877]]",21,"[1332, 1530, 1839, 2184, 2588, 3032, 3461, 3943, 4419, 4917, 5425, 5933, 6439, 6965, 7477, 8050, 8575, 9081, 9655, 10230, 10768]","[0.1332, 0.153, 0.1839, 0.2184, 0.25880000000000003, 0.3032, 0.3461, 0.39430000000000004, 0.4419, 0.4917, 0.5425, 0.5933, 0.6439, 0.6965, 0.7477, 0.805, 0.8575, 0.9081, 0.9655, 1.0230000000000001, 1.0768]"
L + CS-Veh,Veh-8,Before,8,"[[0.009706093189964127, -6.716410319010421], [1.145189964157706, -9.479462154327877]]",25,"[1317, 1480, 1733, 2020, 2353, 2703, 3052, 3422, 3804, 4225, 4624, 5038, 5480, 5910, 6337, 6759, 7169, 7613, 8041, 8486, 8931, 9381, 9857, 10293, 10776]","[0.1317, 0.14800000000000002, 0.1733, 0.202, 0.2353, 0.27030000000000004, 0.3052, 0.3422, 0.3804, 0.42250000000000004, 0.46240000000000003, 0.5038, 0.548, 0.5910000000000001, 0.6337, 0.6759000000000001, 0.7169, 0.7613000000000001, 0.8041, 0.8486, 0.8931, 0.9381, 0.9857, 1.0293, 1.0776000000000001]"
L + CS-Veh,Veh-8,Before,9,"[[0.009706093189964127, -6.716410319010421], [1.145189964157706, -9.479462154327877]]",30,"[1298, 1433, 1657, 1913, 2192, 2479, 2770, 3084, 3415, 3735, 4080, 4423, 4777, 5133, 5501, 5865, 6234, 6616, 7011, 7377, 7777, 8142, 8497, 8857, 9247, 9629, 10006, 10388, 10808, 11182]","[0.1298, 0.1433, 0.16570000000000001, 0.1913, 0.2192, 0.2479, 0.277, 0.3084, 0.3415, 0.3735, 0.40800000000000003, 0.4423, 0.4777, 0.5133, 0.5501, 0.5865, 0.6234000000000001, 0.6616000000000001, 0.7011000000000001, 0.7377, 0.7777000000000001, 0.8142, 0.8497, 0.8857, 0.9247000000000001, 0.9629000000000001, 1.0006000000000002, 1.0388, 1.0808, 1.1182]"
