Group,Recording_ID,Label,Sweep_Number,Peak_Index,Peak_Time_s,Peak_Time_ms,Peak_Voltage_mV
L + CS-Veh,Veh-4,Before,5,1420,0.14200000000000002,142.00000000000003,33.3251953125
L + CS-Veh,Veh-4,Before,6,1335,0.1335,133.5,31.55517578125
L + CS-Veh,Veh-4,Before,6,1590,0.159,159.0,31.341552734375
L + CS-Veh,Veh-4,Before,6,1983,0.1983,198.3,29.998779296875
L + CS-Veh,Veh-4,Before,6,2476,0.24760000000000001,247.60000000000002,29.1748046875
L + CS-Veh,Veh-4,Before,7,1315,0.1315,131.5,30.487060546875
L + CS-Veh,Veh-4,Before,7,1505,0.1505,150.5,29.815673828125
L + CS-Veh,Veh-4,Before,7,1751,0.1751,175.1,29.144287109375
L + CS-Veh,Veh-4,Before,7,2056,0.2056,205.6,28.228759765625
L + CS-Veh,Veh-4,Before,7,2384,0.2384,238.4,27.313232421875
L + CS-Veh,Veh-4,Before,7,2762,0.2762,276.2,26.9775390625
L + CS-Veh,Veh-4,Before,7,3163,0.3163,316.3,26.0009765625
L + CS-Veh,Veh-4,Before,7,3632,0.3632,363.20000000000005,25.543212890625
L + CS-Veh,Veh-4,Before,7,4329,0.4329,432.90000000000003,25.115966796875
L + CS-Veh,Veh-4,Before,8,1302,0.1302,130.20000000000002,29.754638671875
L + CS-Veh,Veh-4,Before,8,1452,0.1452,145.2,27.4658203125
L + CS-Veh,Veh-4,Before,8,1650,0.165,165.0,27.2216796875
L + CS-Veh,Veh-4,Before,8,1879,0.1879,187.9,26.763916015625
L + CS-Veh,Veh-4,Before,8,2138,0.21380000000000002,213.8,26.153564453125
L + CS-Veh,Veh-4,Before,8,2417,0.2417,241.7,26.397705078125
L + CS-Veh,Veh-4,Before,8,2704,0.27040000000000003,270.40000000000003,25.57373046875
L + CS-Veh,Veh-4,Before,8,3016,0.30160000000000003,301.6,25.360107421875
L + CS-Veh,Veh-4,Before,8,3343,0.33430000000000004,334.30000000000007,24.932861328125
L + CS-Veh,Veh-4,Before,8,3686,0.36860000000000004,368.6,24.627685546875
L + CS-Veh,Veh-4,Before,8,4053,0.4053,405.3,24.4140625
L + CS-Veh,Veh-4,Before,8,4510,0.451,451.0,23.529052734375
L + CS-Veh,Veh-4,Before,8,4918,0.4918,491.8,23.895263671875
L + CS-Veh,Veh-4,Before,8,5382,0.5382,538.2,23.25439453125
L + CS-Veh,Veh-4,Before,8,5939,0.5939,593.9,22.88818359375
L + CS-Veh,Veh-4,Before,8,7286,0.7286,728.6,23.101806640625
L + CS-Veh,Veh-4,Before,9,1292,0.1292,129.20000000000002,28.4423828125
L + CS-Veh,Veh-4,Before,9,1414,0.1414,141.4,26.702880859375
L + CS-Veh,Veh-4,Before,9,1589,0.1589,158.9,26.55029296875
L + CS-Veh,Veh-4,Before,9,1787,0.1787,178.7,25.7568359375
L + CS-Veh,Veh-4,Before,9,2012,0.20120000000000002,201.20000000000002,25.2685546875
L + CS-Veh,Veh-4,Before,9,2238,0.2238,223.8,24.810791015625
L + CS-Veh,Veh-4,Before,9,2490,0.249,249.0,23.74267578125
L + CS-Veh,Veh-4,Before,9,2754,0.27540000000000003,275.40000000000003,24.261474609375
L + CS-Veh,Veh-4,Before,9,3025,0.3025,302.5,23.651123046875
L + CS-Veh,Veh-4,Before,9,3305,0.3305,330.5,23.8037109375
L + CS-Veh,Veh-4,Before,9,3624,0.3624,362.4,22.613525390625
L + CS-Veh,Veh-4,Before,9,3953,0.39530000000000004,395.30000000000007,21.636962890625
L + CS-Veh,Veh-4,Before,9,4293,0.4293,429.3,22.3388671875
L + CS-Veh,Veh-4,Before,9,4642,0.4642,464.2,22.857666015625
L + CS-Veh,Veh-4,Before,9,5005,0.5005000000000001,500.50000000000006,22.0947265625
L + CS-Veh,Veh-4,Before,9,5383,0.5383,538.3,21.331787109375
L + CS-Veh,Veh-4,Before,9,5753,0.5753,575.3000000000001,22.15576171875
L + CS-Veh,Veh-4,Before,9,6197,0.6197,619.7,21.54541015625
L + CS-Veh,Veh-4,Before,9,6670,0.667,667.0,20.6298828125
L + CS-Veh,Veh-4,Before,9,7083,0.7083,708.3000000000001,21.8505859375
L + CS-Veh,Veh-4,Before,9,7643,0.7643000000000001,764.3000000000001,20.263671875
L + CS-Veh,Veh-4,Before,9,8098,0.8098000000000001,809.8000000000001,21.240234375
L + CS-Veh,Veh-4,Before,9,8614,0.8614,861.4000000000001,20.538330078125
L + CS-Veh,Veh-4,Before,9,9117,0.9117000000000001,911.7,20.599365234375
L + CS-Veh,Veh-4,After,5,1429,0.1429,142.9,33.782958984375
L + CS-Veh,Veh-4,After,6,1339,0.13390000000000002,133.9,31.982421875
L + CS-Veh,Veh-4,After,6,1572,0.1572,157.20000000000002,30.731201171875
L + CS-Veh,Veh-4,After,6,1912,0.1912,191.20000000000002,30.33447265625
L + CS-Veh,Veh-4,After,6,2323,0.2323,232.3,29.9072265625
L + CS-Veh,Veh-4,After,7,1316,0.1316,131.6,31.1279296875
L + CS-Veh,Veh-4,After,7,1501,0.1501,150.10000000000002,29.632568359375
L + CS-Veh,Veh-4,After,7,1765,0.17650000000000002,176.50000000000003,29.72412109375
L + CS-Veh,Veh-4,After,7,2058,0.2058,205.8,28.778076171875
L + CS-Veh,Veh-4,After,7,2397,0.23970000000000002,239.70000000000002,28.50341796875
L + CS-Veh,Veh-4,After,7,2775,0.2775,277.5,27.374267578125
L + CS-Veh,Veh-4,After,7,3169,0.3169,316.90000000000003,26.91650390625
L + CS-Veh,Veh-4,After,7,3689,0.3689,368.9,26.42822265625
L + CS-Veh,Veh-4,After,8,1298,0.1298,129.8,30.76171875
L + CS-Veh,Veh-4,After,8,1444,0.1444,144.4,28.6865234375
L + CS-Veh,Veh-4,After,8,1639,0.16390000000000002,163.9,27.40478515625
L + CS-Veh,Veh-4,After,8,1873,0.18730000000000002,187.3,27.83203125
L + CS-Veh,Veh-4,After,8,2118,0.21180000000000002,211.8,27.252197265625
L + CS-Veh,Veh-4,After,8,2407,0.24070000000000003,240.70000000000002,25.848388671875
L + CS-Veh,Veh-4,After,8,2695,0.2695,269.5,26.06201171875
L + CS-Veh,Veh-4,After,8,3023,0.3023,302.3,25.146484375
L + CS-Veh,Veh-4,After,8,3381,0.3381,338.1,25.665283203125
L + CS-Veh,Veh-4,After,8,3741,0.37410000000000004,374.1,25.20751953125
L + CS-Veh,Veh-4,After,8,4170,0.41700000000000004,417.00000000000006,24.47509765625
L + CS-Veh,Veh-4,After,8,4775,0.47750000000000004,477.50000000000006,24.0478515625
L + CS-Veh,Veh-4,After,8,5193,0.5193,519.3,24.71923828125
L + CS-Veh,Veh-4,After,8,6690,0.669,669.0,25.543212890625
L + CS-Veh,Veh-4,After,8,7403,0.7403000000000001,740.3000000000001,23.8037109375
L + CS-Veh,Veh-4,After,8,9062,0.9062,906.2,23.98681640625
L + CS-Veh,Veh-4,After,9,1293,0.1293,129.3,28.99169921875
L + CS-Veh,Veh-4,After,9,1417,0.14170000000000002,141.70000000000002,27.069091796875
L + CS-Veh,Veh-4,After,9,1593,0.1593,159.3,26.153564453125
L + CS-Veh,Veh-4,After,9,1787,0.1787,178.7,26.3671875
L + CS-Veh,Veh-4,After,9,2003,0.2003,200.3,25.604248046875
L + CS-Veh,Veh-4,After,9,2227,0.2227,222.70000000000002,25.177001953125
L + CS-Veh,Veh-4,After,9,2477,0.2477,247.70000000000002,24.4140625
L + CS-Veh,Veh-4,After,9,2735,0.2735,273.5,24.35302734375
L + CS-Veh,Veh-4,After,9,3021,0.30210000000000004,302.1,24.200439453125
L + CS-Veh,Veh-4,After,9,3307,0.3307,330.7,24.139404296875
L + CS-Veh,Veh-4,After,9,3644,0.3644,364.4,23.13232421875
L + CS-Veh,Veh-4,After,9,3970,0.397,397.0,23.590087890625
L + CS-Veh,Veh-4,After,9,4292,0.4292,429.20000000000005,23.193359375
L + CS-Veh,Veh-4,After,9,4643,0.46430000000000005,464.30000000000007,23.040771484375
L + CS-Veh,Veh-4,After,9,5101,0.5101,510.1,22.003173828125
L + CS-Veh,Veh-4,After,9,5535,0.5535,553.5,22.430419921875
L + CS-Veh,Veh-4,After,9,6046,0.6046,604.6,21.575927734375
L + CS-Veh,Veh-4,After,9,6594,0.6594,659.4,21.240234375
L + CS-Veh,Veh-4,After,9,8262,0.8262,826.2,21.484375
L + CS-Veh,Veh-4,After,9,8781,0.8781,878.1,21.91162109375
L + CS-Veh,Veh-4,After,9,9185,0.9185000000000001,918.5000000000001,22.3388671875
